#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1         0.9         0.9           0
           2         0.9         0.9           0
           3         0.9         0.9 1.49012e-08
           4         0.9         0.9 2.41426e-08
           5         0.9         0.9 3.65002e-08
           6         0.9         0.9 5.01648e-08
           7         0.9         0.9 6.50746e-08
           8    0.900001         0.9 8.11053e-08
           9    0.900001         0.9 9.82799e-08
          10    0.900001         0.9 1.16668e-07
          11    0.900001         0.9 1.35868e-07
          12    0.900002    0.900001 1.56077e-07
          13    0.900002    0.900001 1.77279e-07
          14    0.900002    0.900001 1.99245e-07
          15    0.900003    0.900001 2.22156e-07
          16    0.900003    0.900001 2.45784e-07
          17    0.900004    0.900001  2.7021e-07
          18    0.900004    0.900001 2.95414e-07
          19    0.900004    0.900002 3.21308e-07
          20    0.900005    0.900002 3.47943e-07
          21    0.900005    0.900002 3.75265e-07
          22    0.900006    0.900002 4.03252e-07
          23    0.900007    0.900002  4.3191e-07
          24    0.900007    0.900002 4.61194e-07
          25    0.900008    0.900003 4.91119e-07
          26    0.900009    0.900003 5.21659e-07
          27    0.900009    0.900003 5.52795e-07
          28     0.90001    0.900003  5.8453e-07
          29    0.900011    0.900004 6.16844e-07
          30    0.900012    0.900004 6.49723e-07
          31    0.900012    0.900004 6.83174e-07
          32    0.900013    0.900004 7.17164e-07
          33    0.900014    0.900005   7.517e-07
          34    0.900015    0.900005 7.86771e-07
          35    0.900016    0.900005 8.22367e-07
          36    0.900017    0.900006 8.58474e-07
          37    0.900018    0.900006 8.95101e-07
          38    0.900019    0.900006  9.3223e-07
          39     0.90002    0.900007 9.69853e-07
          40    0.900021    0.900007 1.00796e-06
          41    0.900022    0.900007 1.04656e-06
          42    0.900023    0.900008 1.08564e-06
          43    0.900024    0.900008 1.12518e-06
          44    0.900025    0.900009  1.1652e-06
          45    0.900026    0.900009 1.20567e-06
          46    0.900028    0.900009  1.2466e-06
          47    0.900029     0.90001 1.28797e-06
          48     0.90003     0.90001  1.3298e-06
          49    0.900032    0.900011 1.37206e-06
          50    0.900033    0.900011 1.41477e-06
          51    0.900034    0.900012  1.4579e-06
          52    0.900036    0.900012 1.50146e-06
          53    0.900037    0.900012 1.54545e-06
          54    0.900038    0.900013 1.58985e-06
          55     0.90004    0.900013 1.63467e-06
          56    0.900041    0.900014  1.6799e-06
          57    0.900043    0.900014 1.72554e-06
          58    0.900044    0.900015 1.77158e-06
          59    0.900046    0.900015 1.81803e-06
          60    0.900048    0.900016 1.86487e-06
          61    0.900049    0.900017  1.9121e-06
          62    0.900051    0.900017 1.95973e-06
          63    0.900053    0.900018 2.00774e-06
          64    0.900054    0.900018 2.05614e-06
          65    0.900056    0.900019 2.10492e-06
          66    0.900058    0.900019 2.15408e-06
          67     0.90006     0.90002 2.20362e-06
          68    0.900061    0.900021 2.25352e-06
          69    0.900063    0.900021  2.3038e-06
          70    0.900065    0.900022 2.35445e-06
          71    0.900067    0.900023 2.40547e-06
          72    0.900069    0.900023 2.45684e-06
          73    0.900071    0.900024 2.50858e-06
          74    0.900073    0.900024 2.56067e-06
          75    0.900075    0.900025 2.61312e-06
          76    0.900077    0.900026 2.66592e-06
          77    0.900079    0.900027 2.71908e-06
          78    0.900081    0.900027 2.77258e-06
          79    0.900083    0.900028 2.82643e-06
          80    0.900085    0.900029 2.88063e-06
          81    0.900087    0.900029 2.93516e-06
          82     0.90009     0.90003 2.99004e-06
          83    0.900092    0.900031 3.04526e-06
          84    0.900094    0.900032 3.10081e-06
          85    0.900096    0.900032  3.1567e-06
          86    0.900099    0.900033 3.21292e-06
          87    0.900101    0.900034 3.26947e-06
