#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.89351     1.89351           0
           2     1.86338     1.87844   0.0106524
           3     1.83171     1.86287   0.0145677
           4     1.89157     1.87004   0.0125692
           5     1.89634      1.8753   0.0111015
           6      1.8365     1.86883   0.0109742
           7     1.84324     1.86518  0.00999718
           8     1.88102     1.86716  0.00894146
           9     1.92672     1.87378   0.0101048
          10     1.91925     1.87832   0.0100655
          11     1.85592     1.87629   0.0093543
          12      1.8353     1.87287  0.00917712
          13     1.84864     1.87101  0.00865846
          14     1.86518     1.87059  0.00805001
          15      1.8549     1.86954  0.00758096
          16       1.865     1.86926  0.00711246
          17     1.89539      1.8708  0.00685813
          18     1.89975     1.87241  0.00666309
          19     1.84598     1.87101  0.00645591
          20     1.87936     1.87143  0.00614657
          21     1.81832      1.8689  0.00635288
          22     1.87095       1.869   0.0060648
          23     1.83072     1.86733  0.00602514
          24     1.83138     1.86583  0.00595738
          25     1.82772     1.86431  0.00591091
          26      1.7512     1.85996  0.00710628
          27      1.7879     1.85729   0.0073271
          28     1.82434     1.85611  0.00715928
          29      1.7973     1.85409  0.00719391
          30     1.83502     1.85345  0.00698212
