#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.426536   -0.426536           0
           2   -0.396286   -0.411411   0.0106949
           3   -0.364631   -0.395818   0.0145922
           4   -0.424499   -0.402988   0.0125831
           5   -0.429271   -0.408245   0.0111103
           6   -0.369398    -0.40177   0.0109842
           7   -0.376128   -0.398107   0.0100073
           8   -0.413889    -0.40008  0.00894869
           9   -0.459613   -0.406694   0.0101077
          10   -0.452139   -0.411239   0.0100668
          11   -0.388837   -0.409202  0.00935539
          12   -0.368296   -0.405794  0.00917582
          13   -0.381618   -0.403934  0.00865638
          14   -0.398174   -0.403522  0.00804784
          15   -0.387947   -0.402484  0.00757801
          16   -0.398021   -0.402205  0.00710952
          17   -0.428414   -0.403747  0.00685643
          18   -0.432667   -0.405353  0.00666111
          19   -0.378913   -0.403962  0.00645425
          20   -0.412205   -0.404374  0.00614468
          21   -0.351239   -0.401844  0.00635171
          22   -0.403957    -0.40194  0.00606372
          23    -0.36369   -0.400277  0.00602381
          24   -0.364379   -0.398781  0.00595563
          25    -0.36066   -0.397256  0.00590939
          26   -0.284016   -0.392901  0.00710819
          27   -0.320753   -0.390229     0.00733
          28   -0.357237    -0.38905  0.00716229
          29   -0.330203   -0.387021  0.00719704
          30   -0.367943   -0.386385  0.00698518
