#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0540509   0.0540509           0
           2   0.0536614   0.0538562 0.000137729
           3    0.050801   0.0528378 0.000836553
           4   0.0532891   0.0529506 0.000634978
           5   0.0502601   0.0524125 0.000699779
           6   0.0518275    0.052315 0.000589903
           7   0.0534491    0.052477 0.000527408
           8     0.05329   0.0525786 0.000471171
           9   0.0518264   0.0524951 0.000426168
          10   0.0534395   0.0525895 0.000393877
          11   0.0525765   0.0525883 0.000358072
          12   0.0500807   0.0523793 0.000384401
          13   0.0532115   0.0524434 0.000360122
          14   0.0518298   0.0523995 0.000337055
          15   0.0510202   0.0523076 0.000326888
          16   0.0554779   0.0525057 0.000361557
          17   0.0539382     0.05259 0.000349971
          18   0.0510121   0.0525023  0.00034133
          19   0.0492084    0.052329 0.000364744
          20   0.0578009   0.0526026 0.000437242
          21   0.0476961   0.0523689 0.000474757
          22   0.0542358   0.0524538 0.000460698
          23   0.0511533   0.0523972 0.000444125
          24   0.0495901   0.0522803 0.000440752
          25   0.0507268   0.0522181 0.000427479
          26   0.0529493   0.0522463 0.000411962
          27   0.0520634   0.0522395  0.00039676
          28   0.0500364   0.0521608 0.000390314
          29   0.0468632   0.0519781 0.000417419
          30   0.0525147    0.051996 0.000403888
