#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.26234     1.26234           0
           2     1.24225      1.2523  0.00710158
           3     1.22114     1.24191  0.00971179
           4     1.26104     1.24669  0.00837949
           5     1.26423      1.2502  0.00740097
           6     1.22433     1.24589  0.00731612
           7     1.22882     1.24345  0.00666478
           8     1.25401     1.24477  0.00596097
           9     1.28448     1.24918  0.00673652
          10      1.2795     1.25221  0.00671033
          11     1.23728     1.25086   0.0062362
          12     1.22353     1.24858  0.00611808
          13     1.23242     1.24734  0.00577231
          14     1.24345     1.24706  0.00536667
          15      1.2366     1.24636  0.00505397
          16     1.24333     1.24617  0.00474164
          17     1.26359      1.2472  0.00457209
          18      1.2665     1.24827  0.00444206
          19     1.23065     1.24734  0.00430394
          20      1.2529     1.24762  0.00409772
          21     1.21222     1.24594  0.00423525
          22      1.2473       1.246   0.0040432
          23     1.22048     1.24489  0.00401676
          24     1.22092     1.24389  0.00397159
          25     1.21848     1.24287  0.00394061
          26     1.16747     1.23997  0.00473752
          27     1.19193     1.23819  0.00488473
          28     1.21623     1.23741  0.00477286
          29      1.1982     1.23606  0.00479594
          30     1.22335     1.23563  0.00465475
