#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     1.46697     1.46697           0
           2     1.46709     1.46703 4.25136e-05
           3     1.46708     1.46705 3.08613e-05
           4     1.46707     1.46705 2.35375e-05
           5     1.46707     1.46706 1.90374e-05
           6      1.4671     1.46706 1.74003e-05
           7     1.46711     1.46707 1.60013e-05
           8     1.46713     1.46708  1.5572e-05
           9     1.46711     1.46708 1.42666e-05
          10     1.46711     1.46708  1.3066e-05
          11     1.46708     1.46708 1.18878e-05
          12       1.467     1.46708 1.25709e-05
          13     1.46702     1.46707  1.2404e-05
          14       1.467     1.46707 1.24875e-05
          15     1.46696     1.46706 1.36335e-05
          16     1.46698     1.46705 1.36302e-05
          17     1.46697     1.46705 1.36244e-05
          18     1.46708     1.46705 1.29894e-05
          19     1.46707     1.46705 1.23329e-05
          20     1.46715     1.46706 1.26696e-05
          21     1.46708     1.46706 1.21311e-05
          22       1.467     1.46706 1.18963e-05
          23     1.46703     1.46705 1.14484e-05
          24       1.467     1.46705 1.11729e-05
          25     1.46706     1.46705 1.07347e-05
          26     1.46719     1.46706 1.15267e-05
          27     1.46715     1.46706 1.15809e-05
          28     1.46711     1.46706 1.12744e-05
          29      1.4671     1.46706 1.09537e-05
          30     1.46708     1.46707 1.06007e-05
