#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.37338    -3.37338           0
           2    -3.37906    -3.37622  0.00200878
           3    -3.37656    -3.37633   0.0013423
           4    -3.37747    -3.37662  0.00103654
           5    -3.37795    -3.37689 0.000862721
           6    -3.37687    -3.37688 0.000718939
           7    -3.38122     -3.3775 0.000842047
           8    -3.38169    -3.37803 0.000884297
           9    -3.37847    -3.37807 0.000787394
          10    -3.38172    -3.37844 0.000788691
          11    -3.38005    -3.37859 0.000730384
          12    -3.37803    -3.37854 0.000670963
          13    -3.37664    -3.37839 0.000635027
          14    -3.37736    -3.37832  0.00059395
          15    -3.37922    -3.37838 0.000557358
          16    -3.37542    -3.37819 0.000552314
          17    -3.37923    -3.37826 0.000523177
          18    -3.37906     -3.3783  0.00049603
          19    -3.38083    -3.37843 0.000487441
          20    -3.38449    -3.37874 0.000549015
          21    -3.37915    -3.37876 0.000523231
          22    -3.37735    -3.37869 0.000503343
          23    -3.37701    -3.37862 0.000486763
          24    -3.37456    -3.37845 0.000494949
          25    -3.37585    -3.37835 0.000485965
          26    -3.37651    -3.37828 0.000472386
          27    -3.37563    -3.37818 0.000464963
          28    -3.37557    -3.37808 0.000457553
          29    -3.37269     -3.3779 0.000478136
          30     -3.3782    -3.37791 0.000462301
          31    -3.37582    -3.37784  0.00045228
          32    -3.37688    -3.37781 0.000439148
          33    -3.37761     -3.3778 0.000425881
          34    -3.37865    -3.37783 0.000414089
          35    -3.37923    -3.37787 0.000404191
          36       -3.38    -3.37793  0.00039728
          37    -3.37743    -3.37792 0.000386768
          38    -3.38094    -3.37799 0.000384673
          39    -3.37962    -3.37804 0.000377052
          40    -3.37969    -3.37808 0.000369888
          41    -3.37931    -3.37811 0.000362087
          42    -3.38006    -3.37815 0.000356423
          43    -3.38015     -3.3782 0.000351136
          44    -3.37924    -3.37822 0.000343953
          45    -3.38327    -3.37834 0.000354113
          46    -3.37816    -3.37833 0.000346435
          47    -3.37678     -3.3783 0.000340639
          48    -3.37729    -3.37828 0.000334187
          49    -3.37544    -3.37822  0.00033236
          50    -3.37508    -3.37816 0.000331578
          51    -3.37722    -3.37814 0.000325586
          52    -3.37816    -3.37814 0.000319325
          53    -3.37628     -3.3781 0.000315221
          54     -3.3756    -3.37806 0.000312783
          55     -3.3735    -3.37798 0.000317895
          56    -3.37595    -3.37794 0.000314272
          57    -3.37684    -3.37792 0.000309355
          58    -3.37847    -3.37793 0.000304166
          59     -3.3776    -3.37792 0.000299063
          60    -3.37724    -3.37791 0.000294295
          61    -3.38009    -3.37795 0.000291635
          62    -3.37765    -3.37794 0.000286971
          63    -3.38222    -3.37801 0.000290344
          64    -3.38124    -3.37806 0.000290147
          65    -3.37779    -3.37806 0.000285713
          66    -3.37997    -3.37809 0.000282848
