#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1      1.9006      1.9006           0
           2     1.28353     1.59207    0.218166
           3     1.06362     1.41592    0.204548
           4     1.10544      1.3383    0.167492
           5     1.11217     1.29307    0.139966
           6     1.17704     1.27373    0.117967
           7     1.09926     1.24881    0.103714
           8     1.08173     1.22792    0.092829
           9       1.095     1.21315   0.0836814
          10     1.05794     1.19763   0.0767392
          11     1.01148     1.18071   0.0716046
          12     1.03592     1.16864   0.0666464
          13     1.15905     1.16791   0.0615238
          14      1.1579     1.16719   0.0571334
          15     1.16259     1.16688   0.0533254
          16     1.14499     1.16552   0.0500101
          17     1.16108     1.16526    0.047069
          18     1.19306      1.1668   0.0444794
          19     1.05371     1.16085   0.0425347
          20     1.03601     1.15461   0.0408634
          21     1.10913     1.15244   0.0389749
          22     1.09128     1.14966   0.0373023
          23     1.14363      1.1494   0.0356814
          24      1.0739     1.14625   0.0343331
          25     1.10045     1.14442   0.0330086
          26      1.0955     1.14254   0.0317926
          27     1.09169     1.14066   0.0306708
          28     1.14974     1.14098   0.0295772
          29     1.14349     1.14107   0.0285574
          30     1.11303     1.14013   0.0276208
          31     1.13299      1.1399   0.0267307
          32     1.15196     1.14028   0.0258981
          33     1.12254     1.13974   0.0251188
          34      1.0594     1.13738   0.0244909
          35      1.1271     1.13708    0.023793
          36     1.15173     1.13749   0.0231355
          37     1.08884     1.13618   0.0225476
          38     1.03794     1.13359   0.0221019
          39    0.965663     1.12929   0.0219506
          40     1.04041     1.12706    0.021514
          41     1.10631     1.12656   0.0209953
          42     1.09331     1.12577   0.0205103
          43     1.08323     1.12478   0.0200571
          44     1.07477     1.12364   0.0196335
          45     1.08777     1.12284   0.0192133
          46     1.12446     1.12288   0.0187957
          47     1.08931     1.12216   0.0184093
          48     1.09167     1.12153   0.0180368
          49     1.07465     1.12057    0.017694
          50     1.02432     1.11865   0.0174446
          51     1.10266     1.11833   0.0171053
          52     1.14434     1.11883   0.0167837
          53      1.1204     1.11886    0.016467
          54     1.10274     1.11856   0.0161648
          55     1.08985     1.11804   0.0158793
          56     1.14778     1.11857   0.0156046
          57      1.0663     1.11766   0.0153578
          58     1.04331     1.11637   0.0151464
          59      1.0718     1.11562   0.0149085
          60     1.07278      1.1149   0.0146771
          61     1.07768     1.11429   0.0144492
          62     1.16322     1.11508   0.0142377
          63     1.21448     1.11666   0.0140988
          64     1.14519     1.11711   0.0138856
          65     1.09236     1.11673   0.0136772
          66     1.11418     1.11669     0.01347
          67     1.06174     1.11587   0.0132939
          68       1.054     1.11496   0.0131295
          69     1.03133     1.11375    0.012995
          70     1.10797     1.11366   0.0128097
          71     1.10673     1.11357   0.0126296
          72     1.09678     1.11333   0.0124563
          73     1.04837     1.11244   0.0123175
          74     1.12203     1.11257   0.0121517
          75     1.08393     1.11219   0.0119957
          76     1.10044     1.11204   0.0118388
          77     1.06785     1.11146    0.011699
          78     1.10527     1.11138   0.0115493
          79     1.08407     1.11104   0.0114082
          80     1.10599     1.11097   0.0112658
          81     1.09081     1.11072   0.0111295
          82     1.10883      1.1107   0.0109938
          83     1.05191     1.10999   0.0108841
          84     1.18299     1.11086   0.0107892
          85     1.08822      1.1106   0.0106655
          86     1.10589     1.11054   0.0105417
          87      1.1286     1.11075   0.0104225
          88     1.10254     1.11066   0.0103045
          89     1.11743     1.11073    0.010189
          90     1.11275     1.11075   0.0100758
          91     1.17473     1.11146   0.0099896
          92      1.1399     1.11177   0.0098858
          93     1.05746     1.11118  0.00979673
          94     0.99075      1.1099  0.00977593
          95     1.09201     1.10971  0.00967484
          96     1.05565     1.10915  0.00959043
          97     1.09145     1.10897   0.0094933
          98     1.12293     1.10911   0.0093975
          99     1.00687     1.10808  0.00935915
         100     1.06038      1.1076   0.0092777
         101     1.08125     1.10734  0.00918951
         102     1.11444     1.10741  0.00909968
         103     1.11789     1.10751   0.0090119
         104     1.10417     1.10748  0.00892531
         105     1.16597     1.10804  0.00885767
         106     1.03168     1.10731  0.00880335
         107     1.03101      1.1066  0.00874991
         108     1.05648     1.10614  0.00868119
         109     1.05446     1.10566  0.00861448
         110     1.01548     1.10484   0.0085751
         111     1.01934     1.10407  0.00853237
         112     1.08619     1.10391  0.00845768
         113      1.1531     1.10435  0.00839403
         114     1.11946     1.10448  0.00832144
         115     1.19103     1.10523  0.00828304
         116     1.02525     1.10454  0.00824029
         117     1.02344     1.10385  0.00819896
         118    0.998835     1.10296  0.00817764
         119    0.976537      1.1019  0.00817764
         120     1.09104     1.10181  0.00810999
         121     1.13197     1.10206   0.0080468
         122     1.09155     1.10197   0.0079813
         123     1.10949     1.10203  0.00791665
         124     1.08243     1.10187  0.00785438
         125     1.06651     1.10159  0.00779664
         126     1.08111     1.10143  0.00773646
         127     1.08019     1.10126  0.00767735
         128     1.12219     1.10143  0.00761911
