#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.65237     1.65237           0
           2     1.65539     1.65388  0.00106911
           3     1.62652     1.64476  0.00748108
           4     1.67727     1.65289  0.00900023
           5     1.64686     1.65168  0.00728061
           6     1.66687     1.65421  0.00649218
           7     1.64383     1.65273  0.00573178
           8     1.63943     1.65107  0.00525067
           9     1.65677      1.6517  0.00470535
          10     1.67135     1.65367  0.00462683
          11     1.64445     1.65283  0.00428145
          12     1.67735     1.65487  0.00438544
          13     1.67635     1.65652  0.00434835
          14     1.67916     1.65814  0.00432799
          15     1.62984     1.65625  0.00443163
          16     1.63777      1.6551  0.00430254
          17     1.62232     1.65317  0.00446066
          18     1.65581     1.65332  0.00421526
          19     1.66442      1.6539  0.00403367
          20     1.64256     1.65333  0.00387162
          21     1.62314      1.6519  0.00394516
          22     1.65068     1.65184  0.00376622
          23     1.65533     1.65199  0.00360553
          24     1.65815     1.65225  0.00346442
          25     1.61376     1.65071  0.00365203
          26     1.65305      1.6508  0.00351268
          27     1.63798     1.65033   0.0034145
          28     1.65807      1.6506  0.00330374
          29     1.63267     1.64998   0.0032472
          30     1.66472     1.65048   0.0031759
