#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -5.03099    -5.03099           0
           2    -5.03475    -5.03287  0.00132759
           3    -5.00402    -5.02325  0.00790248
           4    -5.05629    -5.03151   0.0092901
           5    -5.02575    -5.03036  0.00750332
           6    -5.04615    -5.03299  0.00669839
           7    -5.02365    -5.03166  0.00587299
           8    -5.01732    -5.02986  0.00540529
           9    -5.03468     -5.0304  0.00483108
          10    -5.05057    -5.03242  0.00475052
          11    -5.02381    -5.03163  0.00438254
          12    -5.05712    -5.03376  0.00450273
          13    -5.05449    -5.03535  0.00442984
          14    -5.05808    -5.03698   0.0044009
          15      -5.007    -5.03498   0.0045386
          16    -5.01704    -5.03386  0.00439114
          17    -4.99838    -5.03177  0.00460211
          18    -5.03663    -5.03204  0.00435434
          19    -5.04148    -5.03254  0.00415341
          20    -5.01987     -5.0319   0.0039937
          21    -5.00387    -5.03057   0.0040204
          22    -5.02866    -5.03048  0.00383859
          23    -5.03322     -5.0306  0.00367354
          24    -5.03559    -5.03081  0.00352634
          25    -4.98992    -5.02917  0.00374539
          26    -5.03214    -5.02929  0.00360307
          27    -5.01571    -5.02878  0.00350452
          28    -5.03427    -5.02898  0.00338482
          29    -5.01078    -5.02835  0.00332579
          30    -5.04471     -5.0289  0.00325934
