#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     2.06371     2.06371           0
           2     2.00747     2.03559    0.019886
           3     2.26767     2.11295   0.0645398
           4     1.97818     2.07926   0.0565193
           5     2.13443     2.09029     0.04628
           6     2.05114     2.08377    0.039024
           7     2.17835     2.09728   0.0357117
           8     2.18861     2.10869   0.0330222
           9      2.1919     2.11794     0.03062
          10     2.05379     2.11152   0.0282221
          11     2.15431     2.11541    0.025923
          12     2.03837     2.10899    0.024545
          13     2.01385     2.10167    0.023723
          14     2.05029       2.098   0.0223106
          15     2.21542     2.10583   0.0221539
          16     2.30602     2.11834   0.0240442
          17     2.23052     2.12494   0.0235178
          18     1.96919     2.11629   0.0237499
          19     2.08887     2.11485   0.0225437
          20     2.16498     2.11735   0.0215554
          21     2.17044     2.11988   0.0206767
          22     2.16756     2.12205   0.0198501
          23     2.07884     2.12017   0.0190757
          24     2.25387     2.12574    0.019077
          25     2.48202     2.13999   0.0230297
          26     2.05433      2.1367   0.0223784
          27     2.18272      2.1384   0.0216144
          28     2.23304     2.14178   0.0211051
          29     2.24277     2.14526   0.0206626
          30     2.03761     2.14168   0.0202831
