#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.10158     1.10158           0
           2      1.1036     1.10259 0.000712742
           3     1.08435     1.09651  0.00498738
           4     1.11818     1.10193  0.00600016
           5      1.0979     1.10112  0.00485374
           6     1.11124     1.10281  0.00432812
           7     1.09588     1.10182  0.00382119
           8     1.09296     1.10071  0.00350044
           9     1.10451     1.10113   0.0031369
          10     1.11423     1.10244  0.00308455
          11      1.0963     1.10188   0.0028543
          12     1.11824     1.10325  0.00292362
          13     1.11757     1.10435   0.0028989
          14     1.11944     1.10543  0.00288533
          15     1.08656     1.10417  0.00295442
          16     1.09185      1.1034  0.00286836
          17     1.08155     1.10211  0.00297377
          18     1.10388     1.10221  0.00281017
          19     1.10961      1.1026  0.00268912
          20     1.09504     1.10222  0.00258108
          21      1.0821     1.10126  0.00263011
          22     1.10045     1.10123  0.00251081
          23     1.10355     1.10133  0.00240369
          24     1.10544      1.1015  0.00230961
          25     1.07584     1.10047  0.00243469
          26     1.10203     1.10053  0.00234179
          27     1.09199     1.10022  0.00227633
          28     1.10538      1.1004   0.0022025
          29     1.08844     1.09999   0.0021648
          30     1.10981     1.10032  0.00211727
