#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.37862    -3.37862           0
           2    -3.37935    -3.37899 0.000258481
           3     -3.3775    -3.37849 0.000440797
           4    -3.37903    -3.37862  0.00035057
           5    -3.37889    -3.37868 0.000284477
           6    -3.37928    -3.37878 0.000254282
           7    -3.37982    -3.37893 0.000257865
           8    -3.37789     -3.3788 0.000256346
           9    -3.37791     -3.3787 0.000246247
          10    -3.37922    -3.37875 0.000227178
          11    -3.37937    -3.37881 0.000213348
          12    -3.37977    -3.37889 0.000210112
          13    -3.37814    -3.37883 0.000201714
          14    -3.37892    -3.37884  0.00018741
          15    -3.37716    -3.37872 0.000205547
          16    -3.37927    -3.37876 0.000195532
          17    -3.37606     -3.3786  0.00023993
          18    -3.38081    -3.37872 0.000256179
          19    -3.37706    -3.37863 0.000257137
          20    -3.37731    -3.37857 0.000252658
          21    -3.38073    -3.37867 0.000260724
          22    -3.37798    -3.37864 0.000250765
          23    -3.37788    -3.37861 0.000242005
          24    -3.37743    -3.37856 0.000236805
          25    -3.37617    -3.37846 0.000245905
          26    -3.37909    -3.37849 0.000237613
          27    -3.37773    -3.37846 0.000230466
          28    -3.37619    -3.37838 0.000236027
          29    -3.37811    -3.37837 0.000228065
          30    -3.37999    -3.37842 0.000226807
