#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     1.20364     1.20364           0
           2     1.20768     1.20566  0.00142759
           3     1.20934     1.20689  0.00138132
           4     1.20906     1.20743  0.00113738
           5     1.20697     1.20734  0.00091356
           6     1.20634     1.20717 0.000776261
           7      1.2036     1.20666 0.000815806
           8     1.20896     1.20695 0.000762782
           9     1.20712     1.20697 0.000678258
          10     1.20613     1.20688 0.000615587
          11     1.20506     1.20672  0.00058146
          12     1.20654      1.2067 0.000533206
          13     1.20353     1.20646 0.000545376
          14     1.20588     1.20642 0.000508003
          15     1.20504     1.20633 0.000482364
          16      1.2032     1.20613 0.000490298
          17     1.21053     1.20639  0.00052531
          18     1.20986     1.20658 0.000530261
          19     1.20513     1.20651 0.000507815
          20     1.20466     1.20641 0.000490717
          21     1.21161     1.20666 0.000526156
          22     1.20082      1.2064 0.000565261
          23     1.20796     1.20646 0.000544773
          24     1.20722     1.20649 0.000522975
          25     1.20548     1.20645 0.000503637
          26     1.20985     1.20658 0.000500869
          27     1.21127     1.20676 0.000511464
          28     1.20806      1.2068 0.000495319
          29     1.21369     1.20704 0.000532119
          30     1.20852     1.20709 0.000516664
