#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.65163    -6.65163           0
           2    -6.65597     -6.6538  0.00153466
           3    -6.65754    -6.65505  0.00144462
           4    -6.65751    -6.65566  0.00120777
           5    -6.65382    -6.65529  0.00102114
           6    -6.65521    -6.65528  0.00085105
           7    -6.65156    -6.65475 0.000879679
           8    -6.65735    -6.65507 0.000827602
           9    -6.65545    -6.65511 0.000736715
          10    -6.65402    -6.65501 0.000671088
          11    -6.65234    -6.65476 0.000652481
          12    -6.65427    -6.65472 0.000599393
          13    -6.65082    -6.65442  0.00062397
          14    -6.65471    -6.65444 0.000579752
          15    -6.65332    -6.65437 0.000545902
          16    -6.65195    -6.65422 0.000532348
          17    -6.65963    -6.65453 0.000588598
          18    -6.65843    -6.65475 0.000594289
          19     -6.6533    -6.65467 0.000567899
          20    -6.65269    -6.65458 0.000548088
          21    -6.66112    -6.65489 0.000604039
          22    -6.64863     -6.6546 0.000640041
          23    -6.65692     -6.6547 0.000620065
          24    -6.65545    -6.65473 0.000595012
          25    -6.65396     -6.6547 0.000572011
          26    -6.65923    -6.65488 0.000575951
          27    -6.65955    -6.65505 0.000580076
          28    -6.65722    -6.65513 0.000564526
          29     -6.6629     -6.6554 0.000605395
          30    -6.65773    -6.65547 0.000590207
