#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     9.66163     9.66163           0
           2     9.62519     9.64341   0.0128847
           3      9.6212     9.63601   0.0105032
           4     9.63753     9.63639  0.00788423
           5     9.64235     9.63758  0.00639693
           6     9.66778     9.64261   0.0070377
           7     9.68114     9.64812  0.00789631
           8     9.64337     9.64752  0.00693156
           9     9.63685     9.64634  0.00626206
          10      9.6443     9.64613  0.00563917
          11     9.65525     9.64696    0.005187
          12     9.64071     9.64644  0.00478086
          13      9.6604     9.64752  0.00453211
          14     9.65066     9.64774  0.00421394
          15      9.6544     9.64818  0.00395632
          16     9.65582     9.64866  0.00373771
          17     9.63843     9.64806  0.00356592
          18     9.63208     9.64717  0.00347651
          19     9.64497     9.64706  0.00329547
          20     9.64319     9.64686  0.00313636
          21     9.64197     9.64663  0.00299566
          22     9.66331     9.64739  0.00295391
          23     9.62705      9.6465  0.00295491
          24     9.65025     9.64666   0.0028359
          25     9.65814     9.64712  0.00275942
          26     9.63918     9.64681  0.00267014
          27     9.63025      9.6462  0.00264079
          28     9.65102     9.64637  0.00255209
          29     9.61851     9.64541   0.0026387
          30     9.64025     9.64524  0.00255634
