#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.802428    0.802428           0
           2     0.80512    0.803774 0.000951726
           3    0.806227    0.804592 0.000920878
           4    0.806037    0.804953 0.000758256
           5    0.804649    0.804892  0.00060904
           6    0.804228    0.804782 0.000517507
           7    0.802402    0.804442 0.000543871
           8    0.805975    0.804633 0.000508522
           9    0.804745    0.804646 0.000452172
          10    0.804087     0.80459 0.000410391
          11    0.803376    0.804479  0.00038764
          12    0.804357    0.804469 0.000355471
          13     0.80235    0.804306 0.000363584
          14    0.803918    0.804279 0.000338669
          15     0.80336    0.804217 0.000321576
          16     0.80213    0.804087 0.000326865
          17    0.807019    0.804259 0.000350207
          18    0.806571    0.804388 0.000353508
          19    0.803421    0.804337 0.000338543
          20    0.803108    0.804275 0.000327145
          21    0.807743    0.804441 0.000350771
          22    0.800547    0.804264  0.00037684
          23    0.805308    0.804309 0.000363182
          24    0.804811     0.80433  0.00034865
          25    0.803652    0.804303 0.000335758
          26    0.806563     0.80439 0.000333913
          27    0.807512    0.804505 0.000340976
          28    0.805376    0.804536 0.000330213
          29    0.809127    0.804695 0.000354746
          30    0.805681    0.804728 0.000344443
