#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -5.44798    -5.44798           0
           2    -5.44829    -5.44814 0.000107068
           3     -5.4482    -5.44816 7.38038e-05
           4    -5.44845    -5.44823  8.4802e-05
           5    -5.44684    -5.44795 0.000257855
           6    -5.44887    -5.44811   0.0002557
           7    -5.44796    -5.44808 0.000220045
           8    -5.44839    -5.44812 0.000195733
           9    -5.44833    -5.44815 0.000175375
          10    -5.44789    -5.44812 0.000159667
          11    -5.44727    -5.44804 0.000162712
          12    -5.44774    -5.44802 0.000151163
          13    -5.44729    -5.44796  0.00014946
          14    -5.44884    -5.44802 0.000151302
          15    -5.44828    -5.44804 0.000142174
          16    -5.44875    -5.44809 0.000140028
          17     -5.4491    -5.44815 0.000143939
          18    -5.44857    -5.44817 0.000137867
          19    -5.44817    -5.44817 0.000130611
          20    -5.44803    -5.44816 0.000124266
          21     -5.4495    -5.44823  0.00013372
          22    -5.44781    -5.44821 0.000128973
          23    -5.44895    -5.44824 0.000127384
          24    -5.44824    -5.44824 0.000122076
          25    -5.44848    -5.44825 0.000117588
          26    -5.44939    -5.44829  0.00012097
          27    -5.44829    -5.44829  0.00011649
          28    -5.44916    -5.44832 0.000116372
          29    -5.44921    -5.44835 0.000116332
          30    -5.44921    -5.44838  0.00011591
