#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1       -0.44       -0.44           0
           2        -0.6       -0.52   0.0565685
           3        -0.6   -0.546667   0.0435465
           4       -0.68       -0.58    0.043589
           5       -0.68        -0.6   0.0391918
           6       -0.76   -0.626667    0.040734
           7       -0.76   -0.645714   0.0391156
           8       -0.76       -0.66   0.0367423
           9       -0.76   -0.671111   0.0342988
          10       -0.84      -0.688   0.0347793
          11       -0.84   -0.701818   0.0342528
          12       -0.84   -0.713333   0.0332777
          13       -0.84   -0.723077   0.0321127
          14       -0.84   -0.731429   0.0308859
          15       -0.84   -0.738667   0.0296628
          16       -0.84      -0.745    0.028477
          17       -0.84   -0.750588   0.0273447
          18       -0.92       -0.76   0.0273974
          19       -0.92   -0.768421   0.0272189
          20       -0.92      -0.776   0.0268924
          21       -0.92   -0.782857   0.0264716
          22       -0.92   -0.789091    0.025992
          23       -0.92   -0.794783   0.0254774
          24       -0.92        -0.8   0.0249444
          25       -0.92     -0.8048   0.0244041
          26       -0.92   -0.809231   0.0238643
          27       -0.92   -0.813333   0.0233304
          28       -0.92   -0.817143   0.0228061
          29       -0.92    -0.82069   0.0222937
          30       -0.92      -0.824    0.021795
          31       -0.92   -0.827097   0.0213108
          32       -0.92       -0.83   0.0208417
          33       -0.92   -0.832727   0.0203878
          34       -0.92   -0.835294    0.019949
          35       -0.92   -0.837714   0.0195253
          36       -0.92       -0.84   0.0191163
          37       -0.92   -0.842162   0.0187215
          38       -0.92   -0.844211   0.0183405
          39       -0.92   -0.846154   0.0179729
          40       -0.92      -0.848   0.0176182
          41       -0.92   -0.849756   0.0172758
          42       -0.92   -0.851429   0.0169452
          43       -0.92   -0.853023    0.016626
          44       -0.92   -0.854545   0.0163177
          45       -0.92      -0.856   0.0160197
          46       -0.92   -0.857391   0.0157318
          47       -0.92   -0.858723   0.0154534
          48       -0.92       -0.86   0.0151841
          49       -0.92   -0.861224   0.0149235
          50       -0.92     -0.8624   0.0146712
          51       -0.92   -0.863529    0.014427
          52       -0.92   -0.864615   0.0141903
          53       -0.92    -0.86566    0.013961
          54       -0.92   -0.866667   0.0137387
          55       -0.92   -0.867636   0.0135231
          56       -0.92   -0.868571   0.0133139
          57       -0.92   -0.869474   0.0131108
          58       -0.92   -0.870345   0.0129137
          59       -0.92   -0.871186   0.0127222
          60       -0.92      -0.872   0.0125362
          61       -0.92   -0.872787   0.0123553
          62       -0.92   -0.873548   0.0121795
          63       -0.92   -0.874286   0.0120085
          64       -0.92      -0.875   0.0118421
          65       -0.92   -0.875692   0.0116801
          66       -0.92   -0.876364   0.0115224
          67       -0.92   -0.877015   0.0113688
          68       -0.92   -0.877647   0.0112192
          69       -0.92   -0.878261   0.0110734
          70       -0.92   -0.878857   0.0109312
          71       -0.92   -0.879437   0.0107926
          72       -0.92       -0.88   0.0106574
          73       -0.92   -0.880548   0.0105255
          74       -0.92   -0.881081   0.0103967
          75       -0.92     -0.8816   0.0102711
          76       -0.92   -0.882105   0.0101483
          77       -0.92   -0.882597   0.0100285
          78       -0.92   -0.883077  0.00991136
          79       -0.92   -0.883544  0.00979691
          80       -0.92      -0.884  0.00968504
          81       -0.92   -0.884444  0.00957566
          82       -0.92   -0.884878   0.0094687
          83       -0.92   -0.885301  0.00936407
          84       -0.92   -0.885714   0.0092617
          85       -0.92   -0.886118  0.00916152
          86       -0.92   -0.886512  0.00906346
          87       -0.92   -0.886897  0.00896745
          88       -0.92   -0.887273  0.00887343
          89       -0.92    -0.88764  0.00878135
          90       -0.92      -0.888  0.00869113
          91       -0.92   -0.888352  0.00860274
          92          -1   -0.889565   0.0085944
          93          -1   -0.890753  0.00858363
          94          -1   -0.891915  0.00857064
          95          -1   -0.893053   0.0085556
          96          -1   -0.894167   0.0085387
          97          -1   -0.895258   0.0085201
          98          -1   -0.896327  0.00849993
          99          -1   -0.897374  0.00847834
         100          -1     -0.8984  0.00845544
         101          -1   -0.899406  0.00843134
         102          -1   -0.900392  0.00840617
         103          -1   -0.901359  0.00837999
         104          -1   -0.902308  0.00835292
         105          -1   -0.903238  0.00832502
         106          -1   -0.904151  0.00829638
         107          -1   -0.905047  0.00826707
         108          -1   -0.905926  0.00823714
         109          -1   -0.906789  0.00820666
         110          -1   -0.907636  0.00817568
         111          -1   -0.908468  0.00814426
         112          -1   -0.909286  0.00811245
         113          -1   -0.910088  0.00808028
         114          -1   -0.910877   0.0080478
         115          -1   -0.911652  0.00801504
         116          -1   -0.912414  0.00798205
         117          -1   -0.913162  0.00794886
         118          -1   -0.913898  0.00791548
         119          -1   -0.914622  0.00788197
         120          -1   -0.915333  0.00784833
         121          -1   -0.916033   0.0078146
         122          -1   -0.916721  0.00778079
         123          -1   -0.917398  0.00774694
         124          -1   -0.918065  0.00771305
         125          -1    -0.91872  0.00767915
         126          -1   -0.919365  0.00764525
         127          -1       -0.92  0.00761137
         128          -1   -0.920625  0.00757752
         129          -1    -0.92124  0.00754372
         130          -1   -0.921846  0.00750998
         131          -1   -0.922443  0.00747631
         132          -1    -0.92303  0.00744273
         133          -1   -0.923609  0.00740923
         134          -1   -0.924179  0.00737584
         135          -1   -0.924741  0.00734255
         136          -1   -0.925294  0.00730939
         137          -1   -0.925839  0.00727635
         138          -1   -0.926377  0.00724344
         139          -1   -0.926906  0.00721066
         140          -1   -0.927429  0.00717804
         141          -1   -0.927943  0.00714556
         142          -1   -0.928451  0.00711323
         143          -1   -0.928951  0.00708106
         144          -1   -0.929444  0.00704906
         145          -1   -0.929931  0.00701722
         146          -1   -0.930411  0.00698555
         147          -1   -0.930884  0.00695405
         148          -1   -0.931351  0.00692272
         149          -1   -0.931812  0.00689158
         150          -1   -0.932267  0.00686061
         151          -1   -0.932715  0.00682982
         152          -1   -0.933158  0.00679922
         153          -1   -0.933595   0.0067688
         154          -1   -0.934026  0.00673857
         155       -0.92   -0.933935   0.0066957
         156       -0.92   -0.933846  0.00665338
         157       -0.92   -0.933758  0.00661158
         158       -0.92   -0.933671  0.00657031
         159       -0.92   -0.933585  0.00652955
         160       -0.92     -0.9335  0.00648929
         161       -0.92   -0.933416  0.00644953
         162       -0.92   -0.933333  0.00641025
         163       -0.92   -0.933252  0.00637144
         164       -0.92   -0.933171  0.00633311
         165       -0.92   -0.933091  0.00629523
         166       -0.92   -0.933012   0.0062578
         167       -0.84   -0.932455  0.00624506
         168       -0.84   -0.931905  0.00623209
         169       -0.84   -0.931361   0.0062189
         170       -0.84   -0.930824  0.00620549
         171       -0.84   -0.930292  0.00619189
         172       -0.84   -0.929767   0.0061781
         173       -0.84   -0.929249  0.00616414
         174       -0.84   -0.928736  0.00615002
         175       -0.84   -0.928229  0.00613575
         176       -0.84   -0.927727  0.00612133
         177       -0.84   -0.927232  0.00610678
         178       -0.84   -0.926742   0.0060921
         179       -0.84   -0.926257  0.00607731
         180       -0.84   -0.925778  0.00606241
         181       -0.84   -0.925304  0.00604741
         182       -0.84   -0.924835  0.00603232
         183       -0.84   -0.924372  0.00601714
         184       -0.84   -0.923913  0.00600189
         185       -0.84   -0.923459  0.00598656
         186       -0.84   -0.923011  0.00597117
         187       -0.84   -0.922567  0.00595571
         188       -0.84   -0.922128   0.0059402
         189       -0.84   -0.921693  0.00592465
         190       -0.84   -0.921263  0.00590904
         191       -0.84   -0.920838   0.0058934
         192       -0.84   -0.920417  0.00587773
         193       -0.84       -0.92  0.00586203
         194       -0.84   -0.919588  0.00584629
         195       -0.92    -0.91959  0.00581631
         196       -0.92   -0.919592  0.00578664
         197       -0.92   -0.919594  0.00575727
         198       -0.92   -0.919596  0.00572819
         199       -0.92   -0.919598   0.0056994
         200       -0.92     -0.9196  0.00567091
         201       -0.92   -0.919602   0.0056427
         202       -0.92   -0.919604  0.00561476
         203       -0.92   -0.919606   0.0055871
         204       -0.92   -0.919608  0.00555972
         205       -0.92    -0.91961   0.0055326
         206       -0.92   -0.919612  0.00550574
         207       -0.92   -0.919614  0.00547914
         208       -0.92   -0.919615   0.0054528
         209       -0.92   -0.919617  0.00542671
         210       -0.92   -0.919619  0.00540087
         211       -0.84   -0.919242  0.00538844
         212       -0.84   -0.918868  0.00537597
         213       -0.84   -0.918498  0.00536347
         214       -0.84   -0.918131  0.00535093
         215       -0.84   -0.917767  0.00533837
