#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1       -0.36       -0.36           0
           2        -0.6       -0.48   0.0848528
           3       -0.44   -0.466667   0.0576066
           4       -0.68       -0.52   0.0632456
           5       -0.68      -0.552   0.0581309
           6       -0.76   -0.586667   0.0578632
           7       -0.76   -0.611429    0.054639
           8       -0.76       -0.63   0.0508675
           9       -0.68   -0.635556   0.0455179
          10       -0.84      -0.656   0.0453255
          11       -0.84   -0.672727   0.0441839
          12       -0.84   -0.686667   0.0426441
          13       -0.76   -0.692308   0.0397351
          14       -0.76   -0.697143   0.0371899
          15       -0.76   -0.701333   0.0349459
          16       -0.76      -0.705   0.0329536
          17       -0.76   -0.708235   0.0311735
          18       -0.76   -0.711111    0.029574
          19       -0.68   -0.709474   0.0280628
          20       -0.76      -0.712   0.0267731
          21       -0.68   -0.710476   0.0255415
          22       -0.76   -0.712727   0.0244796
          23       -0.68   -0.711304   0.0234565
          24       -0.68       -0.71   0.0225154
          25       -0.68     -0.7088   0.0216468
          26       -0.76   -0.710769   0.0209036
          27       -0.68    -0.70963   0.0201604
          28       -0.68   -0.708571   0.0194681
          29        -0.6   -0.704828   0.0191534
          30       -0.68      -0.704   0.0185329
          31       -0.68   -0.703226   0.0179512
          32       -0.68     -0.7025   0.0174049
          33       -0.68   -0.701818   0.0168908
          34       -0.76   -0.703529   0.0164805
          35       -0.76   -0.705143   0.0160884
          36       -0.84   -0.708889   0.0160717
          37       -0.84   -0.712432   0.0160232
          38       -0.76   -0.713684   0.0156504
          39       -0.76   -0.714872   0.0152941
          40       -0.76      -0.716   0.0149533
          41       -0.68   -0.715122   0.0146143
          42       -0.68   -0.714286   0.0142902
          43       -0.76   -0.715349   0.0139974
          44       -0.84   -0.718182    0.013963
          45       -0.84   -0.720889   0.0139127
          46       -0.92   -0.725217   0.0142677
          47       -0.92   -0.729362   0.0145536
          48       -0.84   -0.731667   0.0144318
          49       -0.84   -0.733878   0.0143056
          50       -0.84      -0.736    0.014176
          51       -0.84   -0.738039    0.014044
          52       -0.92   -0.741538   0.0142032
          53       -0.92   -0.744906   0.0143288
          54       -0.76   -0.745185   0.0140661
          55       -0.84   -0.746909   0.0139156
          56       -0.84   -0.748571   0.0137661
          57       -0.84   -0.750175   0.0136177
          58       -0.92   -0.753103   0.0136941
