#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1       -0.92       -0.92           0
           2       -0.92       -0.92           0
           3       -0.92       -0.92           0
           4       -0.92       -0.92           0
           5       -0.92       -0.92   6.664e-09
           6       -0.92       -0.92           0
           7       -0.92       -0.92           0
           8       -0.92       -0.92           0
           9       -0.92       -0.92 4.96705e-09
          10       -0.92       -0.92 4.71216e-09
          11       -0.92       -0.92 3.17694e-09
          12       -0.92       -0.92           0
          13       -0.92       -0.92 2.92236e-09
          14       -0.92       -0.92 2.81605e-09
          15       -0.92       -0.92 3.84746e-09
          16       -0.92       -0.92 3.72529e-09
          17       -0.92       -0.92 3.61406e-09
          18       -0.92       -0.92 5.55333e-09
          19       -0.92       -0.92 6.39554e-09
          20       -0.92       -0.92  6.2336e-09
          21       -0.92       -0.92  6.8979e-09
          22       -0.92       -0.92 7.10385e-09
          23       -0.92       -0.92 7.61083e-09
          24       -0.92       -0.92 7.45058e-09
          25       -0.92       -0.92 7.59813e-09
          26          -1   -0.923077  0.00301717
          27          -1   -0.925926  0.00403208
          28          -1   -0.928571   0.0046761
          29          -1   -0.931034  0.00512263
          30          -1   -0.933333  0.00544331
          31          -1   -0.935484  0.00567666
          32          -1     -0.9375  0.00584634
          33          -1   -0.939394  0.00596807
          34          -1   -0.941176  0.00605289
          35          -1   -0.942857  0.00610883
          36          -1   -0.944444   0.0061419
          37          -1   -0.945946   0.0061567
          38          -1   -0.947368  0.00615682
          39       -0.92   -0.946667  0.00603881
          40          -1      -0.948  0.00603324
          41          -1   -0.949268  0.00601792
          42          -1   -0.950476  0.00599463
          43          -1   -0.951628  0.00596484
          44          -1   -0.952727  0.00592972
          45          -1   -0.953778  0.00589026
          46          -1   -0.954783  0.00584729
          47          -1   -0.955745  0.00580149
          48          -1   -0.956667  0.00575342
          49          -1   -0.957551  0.00570357
          50          -1     -0.9584  0.00565233
          51          -1   -0.959216  0.00560004
          52          -1       -0.96    0.005547
          53          -1   -0.960755  0.00549344
          54          -1   -0.961481  0.00543958
          55          -1   -0.962182  0.00538557
          56          -1   -0.962857  0.00533157
          57          -1   -0.963509  0.00527771
          58       -0.92   -0.962759  0.00523975
          59       -0.92   -0.962034  0.00520082
          60       -0.92   -0.961333  0.00516111
          61       -0.92   -0.960656  0.00512079
          62       -0.92       -0.96  0.00508001
          63       -0.92   -0.959365  0.00503889
          64       -0.92    -0.95875  0.00499756
          65       -0.92   -0.958154   0.0049561
          66       -0.92   -0.957576  0.00491461
          67       -0.92   -0.957015  0.00487315
          68          -1   -0.957647  0.00484231
          69          -1   -0.958261  0.00481088
          70          -1   -0.958857  0.00477896
          71          -1   -0.959437  0.00474666
          72          -1       -0.96  0.00471405
          73          -1   -0.960548  0.00468121
          74          -1   -0.961081  0.00464821
          75          -1     -0.9616  0.00461511
          76          -1   -0.962105  0.00458196
          77          -1   -0.962597   0.0045488
          78          -1   -0.963077  0.00451569
          79          -1   -0.963544  0.00448265
          80          -1      -0.964  0.00444972
          81          -1   -0.964444  0.00441692
          82          -1   -0.964878  0.00438429
          83          -1   -0.965301  0.00435184
          84          -1   -0.965714  0.00431959
          85          -1   -0.966118  0.00428757
          86          -1   -0.966512  0.00425577
          87          -1   -0.966897  0.00422423
          88          -1   -0.967273  0.00419294
          89          -1    -0.96764  0.00416192
          90          -1      -0.968  0.00413118
          91          -1   -0.968352  0.00410072
          92          -1   -0.968696  0.00407055
          93          -1   -0.969032  0.00404068
          94          -1   -0.969362   0.0040111
          95          -1   -0.969684  0.00398182
          96          -1       -0.97  0.00395285
          97          -1   -0.970309  0.00392418
          98          -1   -0.970612  0.00389581
          99          -1   -0.970909  0.00386775
         100          -1     -0.9712     0.00384
         101          -1   -0.971485  0.00381255
         102          -1   -0.971765  0.00378541
         103          -1   -0.972039  0.00375857
         104          -1   -0.972308  0.00373203
         105          -1   -0.972571   0.0037058
         106          -1    -0.97283  0.00367986
         107          -1   -0.973084  0.00365422
         108          -1   -0.973333  0.00362887
         109          -1   -0.973578  0.00360382
         110          -1   -0.973818  0.00357905
         111          -1   -0.974054  0.00355457
         112          -1   -0.974286  0.00353038
         113          -1   -0.974513  0.00350646
         114          -1   -0.974737  0.00348282
         115          -1   -0.974957  0.00345946
         116          -1   -0.975172  0.00343636
         117          -1   -0.975385  0.00341354
         118          -1   -0.975593  0.00339098
         119          -1   -0.975798  0.00336868
         120          -1      -0.976  0.00334664
         121          -1   -0.976198  0.00332485
         122          -1   -0.976393  0.00330332
         123          -1   -0.976585  0.00328203
         124          -1   -0.976774  0.00326099
         125          -1    -0.97696   0.0032402
         126          -1   -0.977143  0.00321964
         127          -1   -0.977323  0.00319931
