#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1       -0.44       -0.44           0
           2       -0.52       -0.48   0.0282843
           3        -0.6       -0.52   0.0377124
           4       -0.44        -0.5   0.0331662
           5       -0.68      -0.536   0.0417229
           6       -0.84   -0.586667   0.0578632
           7       -0.68        -0.6   0.0511101
           8       -0.52       -0.59   0.0456892
           9        -0.6   -0.591111   0.0406261
          10       -0.68        -0.6   0.0375233
          11       -0.44   -0.585455   0.0368235
          12       -0.52       -0.58   0.0341565
          13       -0.76   -0.593846   0.0342206
          14       -0.68        -0.6   0.0323249
          15       -0.68   -0.605333   0.0306067
          16        -0.6      -0.605   0.0286956
          17       -0.68   -0.609412   0.0273447
          18       -0.44        -0.6   0.0273974
          19        -0.6        -0.6   0.0259554
          20       -0.52      -0.596    0.024964
          21       -0.44   -0.588571   0.0248559
          22        -0.6   -0.589091   0.0237315
          23       -0.44   -0.582609   0.0235684
          24        -0.6   -0.583333   0.0225975
          25       -0.68     -0.5872    0.022022
          26       -0.76   -0.593846   0.0221552
          27       -0.68   -0.597037   0.0215632
          28        -0.6   -0.597143   0.0207933
          29        -0.6   -0.597241   0.0200765
          30       -0.68        -0.6   0.0195959
          31       -0.36   -0.592258    0.020436
          32        -0.6     -0.5925   0.0197988
          33       -0.52   -0.590303   0.0193203
          34       -0.52   -0.588235   0.0188624
          35       -0.84   -0.595429   0.0196473
          36       -0.76        -0.6   0.0196261
          37       -0.76   -0.604324   0.0195663
          38       -0.68   -0.606316   0.0191525
          39       -0.52   -0.604103   0.0187888
          40       -0.68      -0.606   0.0184147
          41       -0.68   -0.607805   0.0180538
          42       -0.36   -0.601905    0.018563
          43       -0.44    -0.59814   0.0185092
          44       -0.76   -0.601818   0.0184505
          45       -0.68   -0.603556   0.0181221
          46       -0.52   -0.601739   0.0178189
          47        -0.6   -0.601702   0.0174399
          48       -0.52        -0.6   0.0171594
          49       -0.68   -0.601633   0.0168867
          50       -0.68     -0.6032   0.0166215
          51       -0.68   -0.604706   0.0163637
          52       -0.68   -0.606154   0.0161129
          53       -0.44   -0.603019    0.016111
          54        -0.6   -0.602963   0.0158128
          55        -0.6   -0.602909   0.0155253
          56       -0.68   -0.604286    0.015309
          57       -0.44   -0.601404   0.0153093
          58       -0.44   -0.598621   0.0152962
          59        -0.6   -0.598644    0.015037
          60       -0.44      -0.596    0.015017
          61       -0.44   -0.593443    0.014987
          62        -0.6   -0.593548   0.0147457
          63       -0.36   -0.589841   0.0149704
          64       -0.44     -0.5875   0.0149184
          65       -0.52   -0.586462    0.014725
          66       -0.52   -0.585455   0.0145363
          67       -0.52   -0.584478   0.0143521
          68       -0.52   -0.583529   0.0141723
          69       -0.52   -0.582609   0.0139968
          70       -0.52   -0.581714   0.0138254
          71       -0.68   -0.583099   0.0136998
          72       -0.76   -0.585556   0.0137281
          73       -0.76   -0.587945   0.0137464
          74       -0.84   -0.591351   0.0139763
          75       -0.76     -0.5936   0.0139697
          76       -0.68   -0.594737    0.013832
          77       -0.52   -0.593766   0.0136864
          78       -0.84   -0.596923   0.0138702
          79       -0.68   -0.597975   0.0137345
          80       -0.76        -0.6   0.0137113
          81       -0.68   -0.600988   0.0135776
          82       -0.52        -0.6   0.0134479
          83       -0.44   -0.598072   0.0134233
          84       -0.52   -0.597143   0.0132956
          85       -0.52   -0.596235   0.0131701
          86        -0.6   -0.596279   0.0130171
          87       -0.44   -0.594483   0.0129908
          88       -0.52   -0.593636   0.0128707
          89       -0.52   -0.592809   0.0127527
          90        -0.6   -0.592889   0.0126112
          91        -0.6   -0.592967   0.0124729
          92       -0.52   -0.592174   0.0123625
          93       -0.52   -0.591398   0.0122539
          94       -0.36   -0.588936   0.0123683
          95       -0.44   -0.587368   0.0123371
          96       -0.52   -0.586667   0.0122285
          97        -0.6   -0.586804   0.0121032
          98       -0.76   -0.588571   0.0121081
          99       -0.68   -0.589495   0.0120209
         100        -0.6     -0.5896   0.0119012
         101        -0.6   -0.589703   0.0117838
         102       -0.52    -0.58902   0.0116881
         103       -0.84   -0.591456   0.0118259
         104       -0.84   -0.593846   0.0119512
         105       -0.76   -0.595429   0.0119417
         106       -0.52   -0.594717   0.0118502
         107       -0.68   -0.595514   0.0117662
         108        -0.6   -0.595556   0.0116574
         109       -0.76   -0.597064   0.0116476
         110        -0.6   -0.597091   0.0115418
         111        -0.6   -0.597117   0.0114378
         112        -0.6   -0.597143   0.0113357
         113       -0.76   -0.598584   0.0113267
         114       -0.68   -0.599298   0.0112498
         115       -0.68        -0.6   0.0111738
         116       -0.52    -0.59931   0.0110988
         117       -0.52   -0.598632   0.0110246
         118       -0.68   -0.599322   0.0109527
         119       -0.68        -0.6   0.0108816
         120       -0.52   -0.599333   0.0108113
         121       -0.68        -0.6   0.0107425
         122       -0.68   -0.600656   0.0106745
         123        -0.6    -0.60065   0.0105877
         124       -0.52        -0.6   0.0105223
         125       -0.52    -0.59936   0.0104575
         126       -0.52    -0.59873   0.0103935
         127       -0.44    -0.59748   0.0103865
         128       -0.52   -0.596875    0.010323
         129       -0.44   -0.595659   0.0103144
         130       -0.44   -0.594462   0.0103043
         131       -0.52   -0.593893   0.0102413
         132       -0.52   -0.593333    0.010179
         133        -0.6   -0.593383   0.0101026
         134        -0.6   -0.593433   0.0100273
         135       -0.52   -0.592889  0.00996778
         136       -0.44   -0.591765  0.00995768
         137       -0.52   -0.591241  0.00989876
         138       -0.68   -0.591884   0.0098479
         139        -0.6   -0.591942  0.00977723
