#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1       -0.36       -0.36           0
           2       -0.44        -0.4   0.0282843
           3       -0.44   -0.413333   0.0217732
           4       -0.52       -0.44   0.0282843
           5        -0.6      -0.472   0.0364856
           6       -0.76       -0.52   0.0533333
           7        -0.6   -0.531429   0.0469228
           8       -0.36       -0.51   0.0456892
           9       -0.44   -0.502222   0.0412693
          10       -0.44      -0.496   0.0376085
          11       -0.44   -0.490909   0.0345324
          12       -0.52   -0.493333   0.0317397
          13        -0.6   -0.501538   0.0303402
          14       -0.76       -0.52   0.0333197
          15        -0.6   -0.525333   0.0315224
          16       -0.44       -0.52        0.03
          17       -0.28   -0.505882   0.0313818
          18       -0.28   -0.493333   0.0320493
          19       -0.28   -0.482105   0.0322695
          20       -0.36      -0.476   0.0312282
          21        -0.6   -0.481905   0.0302942
          22       -0.52   -0.483636   0.0289667
          23       -0.44   -0.481739   0.0277693
          24       -0.28   -0.473333   0.0278554
          25       -0.36     -0.4688   0.0271076
          26       -0.44   -0.467692   0.0260876
          27       -0.52    -0.46963   0.0251933
          28       -0.36   -0.465714   0.0245959
          29       -0.36   -0.462069   0.0240163
          30       -0.52      -0.464   0.0232933
          31        -0.2   -0.455484   0.0240483
          32       -0.28       -0.45   0.0239139
          33       -0.28   -0.444848   0.0237376
          34       -0.44   -0.444706   0.0230399
          35        -0.6   -0.449143   0.0228048
          36        -0.6   -0.453333   0.0225531
          37       -0.36   -0.450811   0.0220842
          38       -0.36   -0.448421   0.0216319
          39       -0.52   -0.450256    0.021155
          40        -0.6      -0.454   0.0209547
          41       -0.36   -0.451707   0.0205687
          42       -0.52   -0.453333   0.0201431
          43       -0.36   -0.451163   0.0197913
          44       -0.52   -0.452727   0.0194032
          45       -0.52   -0.454222   0.0190295
          46       -0.28   -0.450435    0.018989
          47       -0.52   -0.451915   0.0186426
          48       -0.36       -0.45   0.0183523
          49       -0.44   -0.449796   0.0179789
          50       -0.52     -0.4512    0.017674
          51       -0.36   -0.449412   0.0174177
          52        -0.6   -0.452308   0.0173218
          53        -0.2   -0.447547    0.017637
          54       -0.44   -0.447407    0.017311
          55       -0.52   -0.448727   0.0170465
          56       -0.52       -0.45   0.0167895
          57       -0.28   -0.447018   0.0167578
          58       -0.12   -0.441379   0.0173915
          59       -0.36       -0.44   0.0171513
          60       -0.44       -0.44   0.0168655
          61       -0.52   -0.441311   0.0166399
          62       -0.52   -0.442581   0.0164199
          63       -0.36    -0.44127   0.0162115
          64       -0.44    -0.44125   0.0159582
          65       -0.12   -0.436308   0.0164602
          66        -0.2   -0.432727   0.0165956
          67       -0.44   -0.432836   0.0163483
          68       -0.44   -0.432941   0.0161082
          69        -0.6   -0.435362   0.0160557
          70       -0.44   -0.435429   0.0158265
          71       -0.52    -0.43662   0.0156483
          72        -0.6   -0.438889   0.0155946
          73       -0.52       -0.44   0.0154205
          74       -0.28   -0.437838    0.015363
          75       -0.44   -0.437867   0.0151582
          76       -0.52   -0.438947   0.0149972
          77       -0.44   -0.438961   0.0148024
          78        -0.6   -0.441026   0.0147559
          79       -0.44   -0.441013   0.0145692
          80        -0.6      -0.443    0.014522
          81       -0.52   -0.443951   0.0143738
          82       -0.36   -0.442927   0.0142349
          83       -0.36   -0.441928   0.0140984
          84       -0.36   -0.440952   0.0139643
          85       -0.36       -0.44   0.0138324
          86        -0.6    -0.44186   0.0137961
          87       -0.28       -0.44   0.0137624
          88       -0.36   -0.439091    0.013636
          89       -0.44   -0.439101   0.0134828
          90        -0.6   -0.440889    0.013451
          91       -0.36       -0.44   0.0133325
          92       -0.28   -0.438261   0.0133006
          93       -0.44    -0.43828   0.0131576
          94       -0.44   -0.438298   0.0130176
          95       -0.36   -0.437474   0.0129066
          96        -0.6   -0.439167   0.0128827
          97        -0.6   -0.440825   0.0128562
          98       -0.44   -0.440816    0.012725
          99       -0.52   -0.441616   0.0126216
         100       -0.36     -0.4408   0.0125217
         101       -0.28   -0.439208   0.0124986
         102       -0.68   -0.441569    0.012597
         103        -0.6   -0.443107   0.0125682
         104        -0.6   -0.444615   0.0125376
         105       -0.52   -0.445333   0.0124387
         106       -0.44   -0.445283   0.0123215
         107        -0.6   -0.446729   0.0122909
         108       -0.44   -0.446667   0.0121772
         109       -0.52   -0.447339   0.0120841
         110       -0.44   -0.447273   0.0119744
         111       -0.28   -0.445766    0.011961
         112       -0.44   -0.445714   0.0118543
         113       -0.52   -0.446372   0.0117676
         114       -0.44   -0.446316   0.0116645
         115       -0.44   -0.446261   0.0115632
         116       -0.36   -0.445517   0.0114874
         117       -0.44    -0.44547   0.0113893
         118       -0.52   -0.446102   0.0113103
         119       -0.28   -0.444706   0.0113011
         120       -0.36      -0.444   0.0112289
         121       -0.28   -0.442645   0.0112176
         122       -0.36   -0.441967   0.0111461
         123       -0.36   -0.441301   0.0110754
         124       -0.44    -0.44129   0.0109861
         125       -0.52    -0.44192   0.0109162
         126       -0.36    -0.44127   0.0108489
         127       -0.28       -0.44   0.0108376
         128       -0.52   -0.440625   0.0107709
         129       -0.28    -0.43938   0.0107591
         130       -0.36   -0.438769   0.0106937
         131       -0.36   -0.438168    0.010629
         132        -0.6   -0.439394   0.0106189
         133        -0.6   -0.440602   0.0106075
         134       -0.44   -0.440597   0.0105283
         135       -0.44   -0.440593   0.0104504
         136       -0.52   -0.441176   0.0103898
         137       -0.52   -0.441752   0.0103299
         138       -0.44   -0.441739   0.0102551
         139       -0.52   -0.442302   0.0101967
         140       -0.44   -0.442286   0.0101239
         141       -0.52   -0.442837   0.0100671
         142        -0.6   -0.443944   0.0100568
         143       -0.44   -0.443916  0.00998656
         144       -0.52   -0.444444  0.00993118
         145       -0.44   -0.444414  0.00986273
         146       -0.44   -0.444384  0.00979523
         147       -0.52   -0.444898  0.00974209
         148       -0.68   -0.446486  0.00980492
         149        -0.6   -0.447517   0.0097931
         150        -0.6   -0.448533  0.00978043
         151        -0.6   -0.449536  0.00976696
         152       -0.52       -0.45   0.0097137
         153       -0.52   -0.450458  0.00966098
         154       -0.36    -0.44987  0.00961609
