#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1       -0.92       -0.92           0
           2       -0.92       -0.92           0
           3       -0.92       -0.92           0
           4       -0.92       -0.92           0
           5       -0.92       -0.92   6.664e-09
           6       -0.92       -0.92           0
           7       -0.92       -0.92           0
           8       -0.92       -0.92           0
           9       -0.92       -0.92 4.96705e-09
          10       -0.92       -0.92 4.71216e-09
          11       -0.92       -0.92 3.17694e-09
          12       -0.92       -0.92           0
          13       -0.92       -0.92 2.92236e-09
          14       -0.92       -0.92 2.81605e-09
          15       -0.92       -0.92 3.84746e-09
          16       -0.92       -0.92 3.72529e-09
          17       -0.92       -0.92 3.61406e-09
          18       -0.92       -0.92 5.55333e-09
          19       -0.92       -0.92 6.39554e-09
          20       -0.92       -0.92  6.2336e-09
          21       -0.92       -0.92  6.8979e-09
          22       -0.92       -0.92 7.10385e-09
          23       -0.92       -0.92 7.61083e-09
          24       -0.92       -0.92 7.45058e-09
          25       -0.92       -0.92 7.59813e-09
          26       -0.92       -0.92 7.45058e-09
          27       -0.92       -0.92  7.8536e-09
          28       -0.92       -0.92 7.96501e-09
          29       -0.92       -0.92 7.82647e-09
          30       -0.92       -0.92 7.69493e-09
          31       -0.92       -0.92 8.02898e-09
          32       -0.92       -0.92 7.90253e-09
          33       -0.92       -0.92 7.78188e-09
          34       -0.92       -0.92 7.66658e-09
          35       -0.92       -0.92 7.96501e-09
          36       -0.92       -0.92  7.8536e-09
          37       -0.92       -0.92 7.74674e-09
          38       -0.92       -0.92 7.64413e-09
          39       -0.84   -0.917949  0.00202481
          40       -0.84      -0.916  0.00275681
          41       -0.84   -0.914146  0.00325362
          42       -0.84   -0.912381  0.00362358
          43       -0.84   -0.910698  0.00391079
          44       -0.92   -0.910909  0.00382762
          45       -0.92   -0.911111  0.00374788
          46       -0.92   -0.911304  0.00367139
          47       -0.92   -0.911489  0.00359793
          48       -0.92   -0.911667  0.00352734
          49       -0.92   -0.911837  0.00345945
          50       -0.92      -0.912  0.00339411
          51       -0.92   -0.912157  0.00333118
          52       -0.92   -0.912308  0.00327054
          53       -0.92   -0.912453  0.00321205
          54       -0.92   -0.912593   0.0031556
          55       -0.92   -0.912727   0.0031011
          56       -0.92   -0.912857  0.00304844
          57       -0.92   -0.912982  0.00299754
          58       -0.84   -0.911724  0.00319908
          59       -0.84   -0.910508  0.00336793
          60       -0.84   -0.909333  0.00351083
          61       -0.84   -0.908197   0.0036326
          62       -0.84   -0.907097  0.00373684
          63       -0.84   -0.906032  0.00382628
          64       -0.84      -0.905  0.00390312
          65       -0.92   -0.905231  0.00384989
          66       -0.92   -0.905455  0.00379806
          67       -0.92   -0.905672  0.00374757
          68       -0.92   -0.905882  0.00369838
          69       -0.92   -0.906087  0.00365043
          70       -0.92   -0.906286  0.00360369
          71       -0.92   -0.906479  0.00355811
          72       -0.92   -0.906667  0.00351364
          73       -0.92   -0.906849  0.00347025
          74       -0.92   -0.907027  0.00342791
          75       -0.92     -0.9072  0.00338656
          76          -1   -0.908421  0.00355532
          77          -1    -0.90961  0.00370274
          78          -1   -0.910769  0.00383232
          79          -1   -0.911899  0.00394675
          80          -1      -0.913  0.00404815
          81          -1   -0.914074  0.00413821
          82          -1   -0.915122  0.00421833
          83          -1   -0.916145  0.00428967
          84          -1   -0.917143  0.00435321
          85          -1   -0.918118  0.00440979
          86          -1    -0.91907  0.00446011
          87          -1       -0.92  0.00450481
          88          -1   -0.920909  0.00454442
          89          -1   -0.921798  0.00457943
          90          -1   -0.922667  0.00461024
          91          -1   -0.923516  0.00463724
          92          -1   -0.924348  0.00466076
          93          -1   -0.925161   0.0046811
          94          -1   -0.925957  0.00469851
          95          -1   -0.926737  0.00471326
          96          -1     -0.9275  0.00472554
          97          -1   -0.928247  0.00473556
          98          -1    -0.92898   0.0047435
          99          -1   -0.929697  0.00474953
         100          -1     -0.9304  0.00475378
         101          -1   -0.931089  0.00475639
         102          -1   -0.931765   0.0047575
         103          -1   -0.932427  0.00475721
         104          -1   -0.933077  0.00475564
         105          -1   -0.933714  0.00475286
         106          -1    -0.93434  0.00474898
         107          -1   -0.934953  0.00474408
         108          -1   -0.935556  0.00473823
         109          -1   -0.936147  0.00473151
         110          -1   -0.936727  0.00472397
         111          -1   -0.937297  0.00471567
         112          -1   -0.937857  0.00470668
         113          -1   -0.938407  0.00469705
         114          -1   -0.938947  0.00468682
         115          -1   -0.939478  0.00467604
         116          -1       -0.94  0.00466474
         117          -1   -0.940513  0.00465297
         118          -1   -0.941017  0.00464077
         119          -1   -0.941513  0.00462817
         120          -1      -0.942  0.00461519
         121          -1   -0.942479  0.00460188
