# DISTANCE:     AVE_GOFR:        ERROR:
           0           0           0
    0.064633           0           0
    0.129266           0           0
    0.193899           0           0
    0.258532           0           0
    0.323165           0           0
    0.387798           0           0
    0.452431           0           0
    0.517064           0           0
    0.581697           0           0
     0.64633           0           0
    0.710963           0           0
    0.775596           0           0
     0.84023 0.000838155 9.31331e-05
    0.904863    0.148061  0.00114906
    0.969496     1.06584   0.0030222
     1.03413     2.03584  0.00507054
     1.09876     2.25898  0.00500821
     1.16339     2.09235   0.0042777
     1.22803     1.83059  0.00385782
     1.29266     1.62337  0.00315076
     1.35729     1.44849  0.00280746
     1.42193     1.33411  0.00243633
     1.48656     1.24756  0.00235543
     1.55119     1.18799  0.00281587
     1.61583      1.1476  0.00225857
     1.68046     1.11146  0.00183203
     1.74509     1.08785  0.00165549
     1.80973     1.07612   0.0014815
     1.87436     1.06424  0.00133459
     1.93899     1.06024  0.00177676
     2.00362     1.05745  0.00166996
     2.06826     1.05395  0.00134261
     2.13289     1.05024  0.00186332
     2.19752     1.04885  0.00140562
     2.26216     1.04138  0.00136681
     2.32679     1.03827  0.00128942
     2.39142     1.03217  0.00143109
     2.45606     1.02547 0.000963675
     2.52069     1.01875  0.00110397
     2.58532     1.01549  0.00120648
     2.64995     1.01344  0.00117453
     2.71459     1.00895  0.00106251
     2.77922     1.00737  0.00108554
     2.84385     1.00537 0.000943692
     2.90849     1.00321  0.00114343
     2.97312     1.00153  0.00105535
     3.03775     0.99887 0.000846377
     3.10239    0.998847  0.00078974
     3.16702    0.996468 0.000842361
     3.23165    0.996444 0.000837283
     3.29629    0.995828  0.00088725
     3.36092    0.993929 0.000962476
     3.42555     0.99365  0.00083982
     3.49018    0.993272 0.000778925
     3.55482    0.992812 0.000799205
     3.61945    0.990569 0.000856489
     3.68408    0.992946 0.000865803
     3.74872    0.990429 0.000707082
     3.81335    0.990077  0.00072425
     3.87798    0.990572 0.000694994
     3.94262    0.988828 0.000798331
     4.00725    0.987765 0.000672482
     4.07188     0.98905 0.000712694
     4.13651    0.988507 0.000719977
     4.20115    0.988444 0.000715735
     4.26578    0.988074 0.000662561
     4.33041    0.987835 0.000669753
     4.39505    0.987163 0.000609779
     4.45968    0.987553 0.000689923
     4.52431    0.986856  0.00059071
     4.58895    0.987744 0.000649741
     4.65358    0.987506 0.000568909
     4.71821    0.987203 0.000604119
     4.78285     0.98733 0.000613234
     4.84748    0.987179 0.000589164
     4.91211    0.986921 0.000590481
     4.97674    0.986318 0.000473315
     5.04138    0.985607 0.000564251
     5.10601    0.986531 0.000642238
     5.17064    0.986384 0.000559247
     5.23528    0.985103 0.000606536
     5.29991    0.986236 0.000541802
     5.36454     0.98643 0.000472051
     5.42918    0.985427 0.000554704
     5.49381    0.986912  0.00047284
     5.55844    0.986439 0.000471916
     5.62307    0.985854 0.000541625
     5.68771    0.986053 0.000543805
     5.75234    0.986665  0.00043359
     5.81697    0.985948 0.000545323
     5.88161    0.986596 0.000482271
     5.94624     0.98549 0.000451218
     6.01087    0.985452 0.000467288
     6.07551    0.985536 0.000438158
     6.14014    0.985538 0.000549169
     6.20477    0.985529 0.000440023
      6.2694    0.985831 0.000408727
     6.33404    0.985478 0.000474732
     6.39867    0.985575 0.000443826
