# DISTANCE:     AVE_GOFR:        ERROR:
           0           0           0
    0.064633           0           0
    0.129266           0           0
    0.193899           0           0
    0.258532           0           0
    0.323165           0           0
    0.387798           0           0
    0.452431           0           0
    0.517064           0           0
    0.581697           0           0
     0.64633           0           0
    0.710963           0           0
    0.775596           0           0
     0.84023  0.00116743 0.000482915
    0.904863    0.155233  0.00757896
    0.969496     1.00402   0.0219878
     1.03413     1.89592   0.0513886
     1.09876     2.08116   0.0681866
     1.16339     1.94722   0.0578315
     1.22803     1.77475   0.0458345
     1.29266     1.57674   0.0337798
     1.35729     1.41476   0.0280962
     1.42193     1.26602   0.0251709
     1.48656     1.18251   0.0267961
     1.55119     1.13999   0.0221748
     1.61583     1.07764   0.0166147
     1.68046     1.07536   0.0178607
     1.74509     1.06421   0.0171044
     1.80973     1.03974   0.0163184
     1.87436     1.02254   0.0144603
     1.93899     1.02177   0.0129577
     2.00362     1.03693   0.0149425
     2.06826     1.06605   0.0133831
     2.13289     1.03566   0.0118294
     2.19752     1.02633   0.0115304
     2.26216     1.00867   0.0125894
     2.32679     1.00059   0.0143628
     2.39142     1.01121   0.0135395
     2.45606     1.00283   0.0113804
     2.52069     1.00421   0.0104125
     2.58532    0.991087   0.0104098
     2.64995    0.991396    0.011502
     2.71459     1.00432  0.00870847
     2.77922     1.00335   0.0106652
     2.84385     1.00074   0.0100493
     2.90849    0.987329  0.00889621
     2.97312    0.989375  0.00892836
     3.03775    0.984573   0.0102127
     3.10239    0.978816    0.010495
     3.16702    0.977351  0.00873759
     3.23165    0.979093  0.00932681
     3.29629    0.975424  0.00957537
     3.36092    0.977255  0.00987065
     3.42555    0.968753  0.00773517
     3.49018    0.966242  0.00844926
     3.55482    0.986136  0.00856368
     3.61945    0.984163  0.00770627
     3.68408    0.978136  0.00700869
     3.74872    0.978524  0.00863205
     3.81335    0.979465  0.00867505
     3.87798    0.982162  0.00879332
     3.94262     0.98214  0.00877951
     4.00725    0.983618  0.00873276
     4.07188    0.980673  0.00727908
     4.13651    0.974582  0.00800072
     4.20115    0.980402  0.00830663
     4.26578    0.978131  0.00762704
     4.33041    0.983724  0.00783745
     4.39505    0.986162  0.00811479
     4.45968    0.988712  0.00824364
     4.52431    0.991333  0.00814708
     4.58895     0.98704  0.00790754
     4.65358    0.984886  0.00749824
     4.71821    0.985349  0.00727504
     4.78285    0.985343  0.00695798
     4.84748     0.99329  0.00774073
     4.91211    0.983966  0.00766253
     4.97674    0.984362  0.00680309
     5.04138    0.984459  0.00625971
     5.10601     0.99403  0.00598006
     5.17064    0.983524  0.00649076
     5.23528     0.98457  0.00612258
     5.29991    0.977072  0.00576278
     5.36454    0.981957  0.00617019
     5.42918    0.988807  0.00558912
     5.49381    0.990283  0.00455945
     5.55844    0.987046  0.00511436
     5.62307    0.993586  0.00666385
     5.68771    0.984344  0.00629312
     5.75234    0.979372  0.00549782
     5.81697    0.988349   0.0040541
     5.88161    0.981241  0.00457011
     5.94624    0.983034   0.0052126
     6.01087     0.98559  0.00449432
     6.07551    0.984826  0.00479575
     6.14014    0.987333  0.00534486
     6.20477    0.991344  0.00492952
      6.2694    0.989126  0.00453206
     6.33404    0.985819  0.00519787
     6.39867    0.992405  0.00418966
