#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1   -0.413114   -0.413114           0
           2   -0.414554   -0.413834 0.000509339
           3   -0.415742    -0.41447 0.000620475
           4   -0.411426   -0.413709 0.000806757
           5   -0.412231   -0.413413  0.00069747
           6   -0.415617   -0.413781 0.000670975
           7   -0.410995   -0.413383  0.00068299
           8   -0.414199   -0.413485 0.000605185
           9     -0.4158   -0.413742 0.000590078
          10   -0.412803   -0.413648 0.000538485
          11   -0.417582   -0.414006  0.00059657
          12   -0.413564   -0.413969 0.000547989
          13    -0.41453   -0.414012  0.00050753
          14   -0.411983   -0.413867 0.000491538
          15   -0.414964    -0.41394 0.000464179
          16   -0.414529   -0.413977 0.000436624
          17    -0.41559   -0.414072 0.000421128
          18   -0.409793   -0.413834 0.000459967
          19   -0.418886     -0.4141 0.000506805
          20   -0.409673   -0.413879 0.000527601
          21   -0.415231   -0.413943 0.000506391
          22   -0.413583   -0.413927 0.000483638
          23   -0.418343   -0.414119  0.00049927
          24   -0.414281   -0.414125 0.000478512
          25   -0.418347   -0.414294 0.000488265
          26   -0.414702    -0.41431 0.000469737
          27    -0.41245   -0.414241 0.000457364
          28   -0.413293   -0.414207 0.000442282
          29    -0.41305   -0.414167 0.000428827
          30   -0.413883   -0.414158 0.000414637
          31   -0.418702   -0.414304  0.00042639
          32   -0.418997   -0.414451  0.00043756
          33    -0.41313   -0.414411 0.000426129
          34   -0.413087   -0.414372 0.000415372
          35   -0.415409   -0.414402 0.000404559
          36   -0.411197   -0.414313 0.000402995
          37   -0.410193   -0.414201 0.000407198
          38   -0.416618   -0.414265 0.000401418
          39   -0.413167   -0.414237 0.000392111
          40   -0.416136   -0.414284 0.000385172
          41   -0.419003   -0.414399 0.000392593
          42   -0.412001   -0.414342 0.000387375
          43    -0.40774   -0.414189 0.000407663
          44   -0.410475   -0.414104  0.00040704
          45   -0.412047   -0.414059 0.000400553
          46    -0.41167   -0.414007 0.000395198
          47   -0.415843   -0.414046 0.000388716
          48   -0.416475   -0.414096 0.000383897
          49   -0.413317    -0.41408 0.000376392
          50   -0.416917   -0.414137 0.000373115
