#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1   0.0424389   0.0424389           0
           2      0.0425   0.0424695 2.16309e-05
           3     0.04238   0.0424396 2.83055e-05
           4   0.0427352   0.0425135 6.74334e-05
           5   0.0427991   0.0425706 7.42923e-05
           6   0.0425087   0.0425603 6.26234e-05
           7   0.0430602   0.0426317 8.51628e-05
           8   0.0428297   0.0426565 7.80286e-05
           9     0.04274   0.0426658  6.9909e-05
          10    0.042856   0.0426848 6.54553e-05
          11   0.0425579   0.0426732 6.05124e-05
          12   0.0422748     0.04264 6.39333e-05
          13   0.0425383   0.0426322 5.94927e-05
          14   0.0426885   0.0426362 5.53791e-05
          15   0.0422225   0.0426087 5.81528e-05
          16    0.042352   0.0425926 5.66875e-05
          17   0.0427934   0.0426044   5.457e-05
          18    0.042589   0.0426036 5.15451e-05
          19   0.0428914   0.0426187 5.10098e-05
          20   0.0429035    0.042633 5.04074e-05
          21   0.0425002   0.0426266 4.84017e-05
          22   0.0427406   0.0426318 4.64781e-05
          23    0.042615   0.0426311 4.44631e-05
          24   0.0426389   0.0426314 4.26117e-05
          25   0.0430895   0.0426497 4.46738e-05
          26   0.0422973   0.0426362 4.49648e-05
          27   0.0423941   0.0426272 4.41843e-05
          28   0.0429235   0.0426378 4.38554e-05
          29   0.0426105   0.0426369 4.23533e-05
          30   0.0425963   0.0426355 4.09631e-05
          31   0.0423139   0.0426251 4.09341e-05
          32   0.0426005   0.0426244 3.96621e-05
          33   0.0428396   0.0426309 3.89928e-05
          34    0.042331   0.0426221  3.8831e-05
          35   0.0424885   0.0426182 3.79084e-05
          36   0.0431158   0.0426321 3.92946e-05
          37      0.0428   0.0426366 3.84939e-05
          38   0.0426872   0.0426379 3.75038e-05
          39   0.0424271   0.0426325 3.69299e-05
          40   0.0427225   0.0426348  3.6075e-05
          41   0.0425152   0.0426319 3.53127e-05
          42   0.0423726   0.0426257 3.50072e-05
          43   0.0426208   0.0426256 3.41933e-05
          44   0.0428692   0.0426311 3.38614e-05
          45   0.0423511   0.0426249 3.36757e-05
          46   0.0430778   0.0426347 3.43526e-05
          47   0.0422563   0.0426267 3.45524e-05
          48   0.0428854   0.0426321 3.42504e-05
          49   0.0431051   0.0426417 3.48851e-05
          50   0.0422504   0.0426339 3.50545e-05
