# DISTANCE:     AVE_GOFR:        ERROR:
           0           0           0
   0.0256496           0           0
   0.0512993           0           0
   0.0769489           0           0
    0.102599           0           0
    0.128248           0           0
    0.153898           0           0
    0.179547           0           0
    0.205197           0           0
    0.230847           0           0
    0.256496           0           0
    0.282146           0           0
    0.307796           0           0
    0.333445           0           0
    0.359095           0           0
    0.384745           0           0
    0.410394           0           0
    0.436044           0           0
    0.461694           0           0
    0.487343           0           0
    0.512993           0           0
    0.538642           0           0
    0.564292           0           0
    0.589942           0           0
    0.615591           0           0
    0.641241           0           0
    0.666891           0           0
     0.69254           0           0
     0.71819           0           0
     0.74384           0           0
    0.769489           0           0
    0.795139           0           0
    0.820788           0           0
    0.846438 2.04249e-05 6.16518e-06
    0.872088  0.00126095 4.28225e-05
    0.897737   0.0240703 0.000250889
    0.923387    0.165117 0.000810277
    0.949037    0.563405  0.00156053
    0.974686     1.19911  0.00252572
     1.00034     1.86558  0.00246794
     1.02599     2.33956  0.00261096
     1.05164     2.54945  0.00204862
     1.07728     2.55219  0.00225146
     1.10293     2.40997  0.00168435
     1.12858     2.19783  0.00186807
     1.15423     1.97503  0.00220803
     1.17988     1.75512  0.00194139
     1.20553     1.55956  0.00167408
     1.23118     1.39069  0.00188238
     1.25683     1.24448  0.00169905
     1.28248     1.12218  0.00137217
     1.30813     1.02263  0.00162175
     1.33378    0.940538  0.00138399
     1.35943     0.87239  0.00119517
     1.38508    0.816801  0.00110438
     1.41073    0.773876  0.00120936
     1.43638    0.737587  0.00102387
     1.46203    0.710289  0.00106335
     1.48768    0.690557   0.0010693
     1.51333    0.677231  0.00101359
     1.53898    0.669966 0.000912358
     1.56463    0.670545  0.00105334
     1.59028    0.675505 0.000915376
     1.61593    0.686411  0.00096614
     1.64158    0.700937 0.000966152
     1.66723    0.722615 0.000909328
     1.69288    0.749408 0.000807968
     1.71853    0.781554  0.00101392
     1.74418    0.814928 0.000836549
     1.76983    0.852669   0.0011692
     1.79547    0.893146 0.000989868
     1.82112    0.936417  0.00121905
     1.84677    0.977805  0.00145234
     1.87242     1.01879  0.00115673
     1.89807     1.06019  0.00108964
     1.92372     1.09817  0.00105245
     1.94937     1.13103   0.0010621
     1.97502     1.16171 0.000933695
     2.00067     1.18738  0.00089705
     2.02632     1.20483 0.000920033
     2.05197     1.21515 0.000845832
     2.07762     1.21658 0.000853219
     2.10327     1.20904 0.000915133
     2.12892      1.1948 0.000875505
     2.15457     1.17431 0.000808792
     2.18022     1.15126 0.000889154
     2.20587     1.12377 0.000855377
     2.23152     1.09481  0.00125319
     2.25717     1.06589  0.00106906
     2.28282     1.03751  0.00110535
     2.30847     1.01125  0.00108168
     2.33412    0.986666 0.000959377
     2.35977    0.965591  0.00109305
     2.38542    0.946895 0.000905718
     2.41107    0.930058 0.000837936
     2.43672    0.918307 0.000818775
     2.46237    0.907818 0.000840654
     2.48802    0.893971 0.000737785
     2.51366    0.884428 0.000587686
     2.53931    0.884886 0.000559148
