# DISTANCE:     AVE_GOFR:        ERROR:
           0           0           0
   0.0256496           0           0
   0.0512993           0           0
   0.0769489           0           0
    0.102599           0           0
    0.128248           0           0
    0.153898           0           0
    0.179547           0           0
    0.205197           0           0
    0.230847           0           0
    0.256496           0           0
    0.282146           0           0
    0.307796           0           0
    0.333445           0           0
    0.359095           0           0
    0.384745           0           0
    0.410394           0           0
    0.436044           0           0
    0.461694           0           0
    0.487343           0           0
    0.512993           0           0
    0.538642           0           0
    0.564292           0           0
    0.589942           0           0
    0.615591           0           0
    0.641241           0           0
    0.666891           0           0
     0.69254           0           0
     0.71819           0           0
     0.74384           0           0
    0.769489           0           0
    0.795139           0           0
    0.820788           0           0
    0.846438  6.8083e-06 6.73987e-06
    0.872088   0.0011885 0.000160889
    0.897737   0.0256631 0.000871324
    0.923387    0.170176   0.0024171
    0.949037    0.572001  0.00343425
    0.974686     1.20669  0.00665567
     1.00034      1.8755    0.009031
     1.02599     2.35615   0.0106772
     1.05164      2.5555   0.0105676
     1.07728     2.53872  0.00825373
     1.10293     2.41669  0.00785243
     1.12858     2.20357  0.00814349
     1.15423     1.96905  0.00759071
     1.17988     1.75567  0.00836567
     1.20553     1.56473  0.00641213
     1.23118     1.39029   0.0070331
     1.25683     1.23955  0.00669186
     1.28248     1.12369  0.00720366
     1.30813     1.02153  0.00595445
     1.33378     0.93322  0.00551983
     1.35943    0.868497  0.00539626
     1.38508    0.810252  0.00494544
     1.41073    0.763738  0.00525864
     1.43638     0.72915  0.00455884
     1.46203    0.706805  0.00426786
     1.48768    0.684864  0.00418113
     1.51333     0.67187   0.0044315
     1.53898    0.668397  0.00479738
     1.56463    0.665976  0.00387149
     1.59028    0.671386  0.00392353
     1.61593    0.687671  0.00368335
     1.64158     0.70205  0.00451633
     1.66723    0.724302  0.00351258
     1.69288    0.753059  0.00426275
     1.71853    0.787681  0.00315219
     1.74418    0.822358  0.00323494
     1.76983    0.857905  0.00360782
     1.79547    0.902155  0.00360338
     1.82112    0.947185  0.00420553
     1.84677    0.986088  0.00423859
     1.87242     1.02462  0.00541445
     1.89807     1.06591  0.00504321
     1.92372     1.10032  0.00480926
     1.94937     1.13971  0.00461587
     1.97502     1.16959  0.00413817
     2.00067     1.19226  0.00371302
     2.02632     1.20654  0.00326807
     2.05197     1.21278  0.00396159
     2.07762     1.21379  0.00345811
     2.10327     1.19956  0.00409148
     2.12892     1.18727  0.00377674
     2.15457     1.16915  0.00403157
     2.18022     1.14475  0.00507885
     2.20587     1.12037  0.00459642
     2.23152     1.09005  0.00463121
     2.25717     1.06047  0.00402127
     2.28282     1.03032  0.00374728
     2.30847     1.00959  0.00338238
     2.33412    0.986618  0.00347487
     2.35977    0.960282  0.00325032
     2.38542    0.942332  0.00310991
     2.41107    0.924359  0.00363896
     2.43672    0.908039  0.00368782
     2.46237    0.901731  0.00364556
     2.48802    0.890512  0.00294514
     2.51366     0.88894   0.0028393
     2.53931    0.892734  0.00259382
