#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1     -5.4776     -5.4776           0
           2     -5.4535    -5.46555  0.00852295
           3    -5.47459    -5.46856  0.00619136
           4    -5.45869    -5.46609   0.0051119
           5    -5.46289    -5.46545  0.00412954
           6     -5.4667    -5.46566  0.00344653
           7    -5.45136    -5.46362  0.00350802
           8     -5.4536    -5.46236  0.00328549
           9    -5.45868    -5.46195  0.00294582
          10    -5.47019    -5.46278  0.00276394
          11      -5.476    -5.46398  0.00276159
          12    -5.47821    -5.46517  0.00277439
          13    -5.45935    -5.46472   0.0025968
          14    -5.48229    -5.46597  0.00269755
          15    -5.47138    -5.46633   0.0025417
          16    -5.47167    -5.46667  0.00240463
          17    -5.46752    -5.46672  0.00226371
          18    -5.44279    -5.46539  0.00249793
          19    -5.48031    -5.46617  0.00248685
          20    -5.46386    -5.46606   0.0023652
          21    -5.47023    -5.46626  0.00226091
          22    -5.46735    -5.46631  0.00215868
          23    -5.48127    -5.46696  0.00216061
          24     -5.4908    -5.46795  0.00228757
          25    -5.46608    -5.46788  0.00219729
          26    -5.44206    -5.46688  0.00232627
          27    -5.44881    -5.46621  0.00233439
          28    -5.47562    -5.46655  0.00227506
          29    -5.46872    -5.46662  0.00219784
          30    -5.45231    -5.46615  0.00217577
          31    -5.46724    -5.46618  0.00210587
          32    -5.47443    -5.46644  0.00205577
          33    -5.45989    -5.46624  0.00200304
          34    -5.46561    -5.46622  0.00194421
          35     -5.4772    -5.46654  0.00191381
          36    -5.44121    -5.46583  0.00198575
          37      -5.469    -5.46592  0.00193393
          38    -5.46161    -5.46581  0.00188636
          39    -5.46382    -5.46575  0.00183868
          40     -5.4612    -5.46564  0.00179624
          41    -5.46148    -5.46554   0.0017553
          42    -5.46219    -5.46546  0.00171532
          43    -5.46389    -5.46542  0.00167581
          44    -5.43385    -5.46471  0.00178472
          45    -5.46081    -5.46462  0.00174716
          46    -5.47738     -5.4649  0.00173108
          47    -5.46758    -5.46495  0.00169519
          48    -5.46661    -5.46499  0.00166022
          49    -5.44409    -5.46456  0.00168023
          50    -5.43789    -5.46403  0.00172923
