#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     1.18177     1.18177           0
           2     1.28001     1.23089   0.0347334
           3       1.198     1.21992   0.0248256
           4     1.25927     1.22976   0.0204757
           5      1.2319     1.23019    0.016385
           6     1.22118     1.22869   0.0137229
           7     1.35215     1.24633   0.0201249
           8     1.28606     1.25129   0.0182119
           9     1.21892      1.2477   0.0165399
          10     1.18191     1.24112   0.0161413
          11     1.18506     1.23602   0.0154573
          12     1.12984     1.22717   0.0165087
          13     1.24528     1.22857   0.0152974
          14      1.1271     1.22132   0.0158288
          15     1.23486     1.22222   0.0147993
          16      1.1682     1.21884   0.0142543
          17     1.17999     1.21656   0.0135978
          18     1.36121      1.2246   0.0150306
          19     1.16473     1.22144   0.0145661
          20     1.22399     1.22157   0.0138383
          21     1.18549     1.21985   0.0132856
          22     1.24218     1.22087   0.0127204
          23     1.17289     1.21878   0.0123372
          24     1.08748     1.21331   0.0129796
          25     1.21718     1.21347   0.0124614
          26     1.32429     1.21773   0.0126902
          27     1.31161     1.22121   0.0126877
          28     1.17948     1.21972   0.0123217
          29      1.2122     1.21946   0.0118996
          30     1.27913     1.22145    0.011668
          31     1.20704     1.22098   0.0113009
          32     1.18967        1.22     0.01099
          33     1.23117     1.22034   0.0106622
          34     1.27034     1.22181   0.0104495
          35     1.15142      1.2198   0.0103426
          36     1.35945     1.22368   0.0107583
          37     1.20112     1.22307   0.0104848
          38     1.23886     1.22349   0.0102171
          39     1.23512     1.22378  0.00995948
          40     1.26846      1.2249  0.00977291
          41     1.23909     1.22525  0.00954067
          42     1.25815     1.22603  0.00934562
          43     1.21931     1.22587  0.00912959
          44     1.34739     1.22864  0.00933044
          45     1.25038     1.22912   0.0091356
          46     1.17635     1.22797  0.00900875
          47     1.19063     1.22718  0.00885204
          48     1.19711     1.22655  0.00868976
          49     1.31664     1.22839  0.00870476
          50     1.35355     1.23089  0.00888331
