# DISTANCE:     AVE_GOFR:        ERROR:
           0           0           0
   0.0230664           0           0
   0.0461329           0           0
   0.0691993           0           0
   0.0922657           0           0
    0.115332           0           0
    0.138399           0           0
    0.161465           0           0
    0.184531           0           0
    0.207598           0           0
    0.230664           0           0
    0.253731           0           0
    0.276797           0           0
    0.299864           0           0
     0.32293           0           0
    0.345996           0           0
    0.369063           0           0
    0.392129           0           0
    0.415196           0           0
    0.438262           0           0
    0.461329           0           0
    0.484395           0           0
    0.507461           0           0
    0.530528           0           0
    0.553594           0           0
    0.576661           0           0
    0.599727           0           0
    0.622794           0           0
     0.64586           0           0
    0.668926           0           0
    0.691993           0           0
    0.715059           0           0
    0.738126           0           0
    0.761192           0           0
    0.784259           0           0
    0.807325           0           0
    0.830391           0           0
    0.853458           0           0
    0.876524 5.89124e-05 1.69533e-05
    0.899591  0.00315516 0.000174541
    0.922657   0.0469857 0.000870034
    0.945724    0.290802  0.00219343
     0.96879     1.00579  0.00548778
    0.991856     2.23562  0.00590604
     1.01492     3.62766  0.00568531
     1.03799     4.61159  0.00579972
     1.06106     4.90157  0.00658098
     1.08412     4.49902  0.00845418
     1.10719      3.6689  0.00854279
     1.13026     2.69747  0.00400191
     1.15332     1.81672  0.00292475
     1.17639     1.12996  0.00241096
     1.19945    0.649925  0.00290536
     1.22252    0.349435  0.00255731
     1.24559    0.177012  0.00207076
     1.26865   0.0886065  0.00145318
     1.29172   0.0483406  0.00124719
     1.31479   0.0415449 0.000849539
     1.33785   0.0592043    0.001187
     1.36092    0.105064  0.00151297
     1.38399     0.18225  0.00174042
     1.40705    0.299711  0.00182951
     1.43012    0.451004  0.00196194
     1.45319    0.629259  0.00142085
     1.47625    0.796347  0.00250302
     1.49932    0.924972  0.00325282
     1.52238    0.973783  0.00342014
     1.54545    0.933629  0.00324645
     1.56852    0.810056  0.00255477
     1.59158    0.640776  0.00107403
     1.61465    0.466722 0.000994059
     1.63772    0.316056  0.00163832
     1.66078    0.217002  0.00211306
     1.68385    0.189281  0.00253527
     1.70692    0.251844  0.00307153
     1.72998    0.431515  0.00338274
     1.75305    0.745395  0.00310618
     1.77612     1.19646  0.00206445
     1.79918     1.72926  0.00171131
     1.82225     2.23562  0.00374364
     1.84531     2.60445  0.00403764
     1.86838     2.71808  0.00573976
     1.89145     2.55896  0.00552526
     1.91451     2.18582  0.00432253
     1.93758     1.69119  0.00271724
     1.96065     1.19983    0.001585
     1.98371    0.802139  0.00327659
     2.00678    0.537896  0.00333157
     2.02985    0.430964  0.00340397
     2.05291    0.459328  0.00288626
     2.07598    0.585186  0.00204861
     2.09905    0.757314  0.00120907
     2.12211    0.918122  0.00141543
     2.14518     1.01543  0.00218607
     2.16824     1.02392  0.00249278
     2.19131    0.918272  0.00172215
     2.21438    0.780848  0.00125039
     2.23744    0.651839  0.00160888
     2.26051      0.5685  0.00275146
     2.28358    0.571154   0.0032551
