#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -7.53816    -7.53816           0
           2    -7.55259    -7.54537  0.00510188
           3    -7.54014    -7.54363  0.00368678
           4    -7.54617    -7.54427  0.00281942
           5    -7.55049    -7.54551  0.00251543
           6    -7.56724    -7.54913  0.00391479
           7    -7.54276    -7.54822  0.00345989
           8    -7.54245     -7.5475  0.00310176
           9    -7.54339    -7.54704  0.00279046
          10    -7.56575    -7.54891  0.00307497
          11    -7.54921    -7.54894  0.00279554
          12    -7.54497    -7.54861  0.00258211
          13    -7.53385    -7.54747  0.00262132
          14    -7.54374    -7.54721   0.0024476
          15    -7.54847    -7.54729  0.00228587
          16    -7.53809    -7.54672  0.00221419
          17    -7.55236    -7.54705  0.00210868
          18    -7.53546     -7.5464  0.00208757
          19    -7.53923    -7.54603  0.00201153
          20    -7.54137    -7.54579   0.0019244
          21    -7.53943    -7.54549  0.00185644
          22    -7.53878    -7.54519  0.00179692
          23    -7.54414    -7.54514  0.00171936
          24    -7.54719    -7.54523  0.00164983
          25    -7.55421    -7.54559  0.00162247
          26    -7.53527    -7.54519  0.00160789
          27    -7.55104    -7.54541  0.00156288
          28    -7.52638    -7.54473  0.00164814
          29    -7.54521    -7.54474  0.00159139
          30    -7.53842    -7.54453  0.00155223
          31    -7.54552    -7.54456  0.00150248
          32    -7.56669    -7.54526  0.00160683
          33    -7.53049    -7.54481  0.00161925
          34     -7.5479     -7.5449  0.00157419
          35    -7.54587    -7.54493  0.00152945
          36    -7.53088    -7.54454  0.00153594
          37    -7.55443     -7.5448  0.00151753
          38    -7.54788    -7.54488  0.00147976
          39    -7.54625    -7.54492  0.00144223
          40    -7.56524    -7.54543  0.00149292
          41    -7.55712    -7.54571  0.00148352
          42    -7.53916    -7.54556  0.00145639
          43    -7.53144    -7.54523  0.00145905
          44    -7.54054    -7.54512  0.00142979
          45    -7.55511    -7.54534  0.00141514
          46    -7.54552    -7.54535  0.00138438
          47    -7.54542    -7.54535  0.00135492
          48    -7.55958    -7.54565  0.00135873
          49    -7.53642    -7.54546  0.00134398
          50    -7.53873    -7.54532  0.00132383
