# DISTANCE:     AVE_GOFR:        ERROR:
           0           0           0
   0.0230664           0           0
   0.0461329           0           0
   0.0691993           0           0
   0.0922657           0           0
    0.115332           0           0
    0.138399           0           0
    0.161465           0           0
    0.184531           0           0
    0.207598           0           0
    0.230664           0           0
    0.253731           0           0
    0.276797           0           0
    0.299864           0           0
     0.32293           0           0
    0.345996           0           0
    0.369063           0           0
    0.392129           0           0
    0.415196           0           0
    0.438262           0           0
    0.461329           0           0
    0.484395           0           0
    0.507461           0           0
    0.530528           0           0
    0.553594           0           0
    0.576661           0           0
    0.599727           0           0
    0.622794           0           0
     0.64586           0           0
    0.668926           0           0
    0.691993           0           0
    0.715059           0           0
    0.738126           0           0
    0.761192           0           0
    0.784259           0           0
    0.807325           0           0
    0.830391           0           0
    0.853458           0           0
    0.876524  8.1741e-05 1.33486e-05
    0.899591  0.00328669 6.44002e-05
    0.922657   0.0475767 0.000393345
    0.945724    0.292753  0.00108559
     0.96879     1.00827  0.00209094
    0.991856     2.24477  0.00261227
     1.01492     3.63148  0.00272988
     1.03799     4.61668  0.00295129
     1.06106      4.8909   0.0036054
     1.08412     4.48762  0.00391319
     1.10719     3.65688  0.00310864
     1.13026     2.69212  0.00216706
     1.15332     1.81437  0.00132795
     1.17639     1.13071  0.00153482
     1.19945    0.654904  0.00134501
     1.22252    0.354478   0.0011328
     1.24559    0.181096  0.00085947
     1.26865   0.0903465 0.000665424
     1.29172   0.0501002 0.000446542
     1.31479   0.0429394 0.000422352
     1.33785   0.0609947 0.000490338
     1.36092    0.106755 0.000604309
     1.38399    0.184878 0.000775801
     1.40705    0.301253 0.000670936
     1.43012     0.45306 0.000697319
     1.45319    0.628247 0.000731009
     1.47625    0.794479 0.000993711
     1.49932    0.921535    0.001181
     1.52238     0.96965  0.00155188
     1.54545    0.927631  0.00141346
     1.56852    0.808321  0.00106196
     1.59158     0.64037 0.000641719
     1.61465     0.46638 0.000495743
     1.63772    0.316739 0.000745392
     1.66078     0.22045  0.00082666
     1.68385    0.193388  0.00113804
     1.70692    0.256609  0.00125566
     1.72998    0.434906  0.00139497
     1.75305    0.750945    0.001411
     1.77612     1.19883  0.00102693
     1.79918     1.72757 0.000864828
     1.82225     2.23462  0.00131958
     1.84531     2.59602  0.00220653
     1.86838     2.70993   0.0026825
     1.89145     2.55402   0.0025814
     1.91451     2.17966  0.00172131
     1.93758     1.68978 0.000978633
     1.96065     1.20095 0.000763888
     1.98371    0.803407   0.0013526
     2.00678    0.543341  0.00148227
     2.02985    0.435343   0.0014666
     2.05291    0.462754  0.00122735
     2.07598    0.588422 0.000835822
     2.09905    0.758837 0.000545156
     2.12211    0.917222 0.000685038
     2.14518     1.01313  0.00100255
     2.16824     1.02141  0.00103029
     2.19131    0.918272  0.00068312
     2.21438    0.780442 0.000574181
     2.23744     0.65356 0.000669813
     2.26051    0.572649  0.00114217
     2.28358    0.574746  0.00138804
