# DISTANCE:     AVE_GOFR:        ERROR:
           0           0           0
   0.0230664           0           0
   0.0461329           0           0
   0.0691993           0           0
   0.0922657           0           0
    0.115332           0           0
    0.138399           0           0
    0.161465           0           0
    0.184531           0           0
    0.207598           0           0
    0.230664           0           0
    0.253731           0           0
    0.276797           0           0
    0.299864           0           0
     0.32293           0           0
    0.345996           0           0
    0.369063           0           0
    0.392129           0           0
    0.415196           0           0
    0.438262           0           0
    0.461329           0           0
    0.484395           0           0
    0.507461           0           0
    0.530528           0           0
    0.553594           0           0
    0.576661           0           0
    0.599727           0           0
    0.622794           0           0
     0.64586           0           0
    0.668926           0           0
    0.691993           0           0
    0.715059           0           0
    0.738126           0           0
    0.761192           0           0
    0.784259           0           0
    0.807325           0           0
    0.830391           0           0
    0.853458           0           0
    0.876524 0.000100151 4.40003e-05
    0.899591  0.00369525 0.000244156
    0.922657   0.0516188   0.0012676
    0.945724     0.31552  0.00256129
     0.96879     1.04318  0.00418733
    0.991856     2.28669  0.00688995
     1.01492     3.64618   0.0077643
     1.03799     4.58932  0.00867879
     1.06106     4.81639  0.00881304
     1.08412     4.42729   0.0103972
     1.10719     3.62131  0.00991979
     1.13026     2.68915   0.0084197
     1.15332     1.83297  0.00629416
     1.17639     1.15321   0.0046052
     1.19945    0.673716  0.00359606
     1.22252    0.365729  0.00250085
     1.24559    0.187386  0.00200477
     1.26865   0.0948432  0.00149461
     1.29172   0.0533897  0.00140221
     1.31479   0.0438229  0.00118056
     1.33785   0.0622849  0.00135282
     1.36092    0.109047  0.00185542
     1.38399     0.18914   0.0021605
     1.40705    0.303794  0.00209048
     1.43012    0.455785   0.0028253
     1.45319    0.631081  0.00236624
     1.47625    0.797043  0.00354734
     1.49932    0.910898  0.00407079
     1.52238    0.954326  0.00469394
     1.54545    0.914867  0.00442577
     1.56852    0.805507  0.00355084
     1.59158    0.644075  0.00241487
     1.61465    0.468816  0.00218566
     1.63772    0.323587  0.00207707
     1.66078    0.225788  0.00193456
     1.68385    0.200211  0.00224555
     1.70692    0.265687  0.00278791
     1.72998    0.449291  0.00354957
     1.75305    0.774912  0.00339118
     1.77612     1.21864  0.00320167
     1.79918     1.73359  0.00369633
     1.82225     2.21684  0.00429687
     1.84531     2.56239  0.00599353
     1.86838     2.67202  0.00569465
     1.89145     2.52295  0.00574565
     1.91451     2.16158  0.00497202
     1.93758     1.68927   0.0032255
     1.96065     1.21628  0.00333909
     1.98371    0.822497  0.00364821
     2.00678    0.563645  0.00292001
     2.02985    0.451747  0.00263984
     2.05291    0.475414   0.0028049
     2.07598    0.594988  0.00216489
     2.09905    0.757959  0.00240796
     2.12211    0.908595  0.00259163
     2.14518    0.992483  0.00330057
     2.16824     0.99645  0.00270857
     2.19131    0.915116  0.00251591
     2.21438    0.790404  0.00207991
     2.23744    0.663256   0.0026981
     2.26051    0.584895  0.00241294
     2.28358    0.585268  0.00357568
