#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1      -7.548      -7.548           0
           2    -7.55187    -7.54993  0.00136689
           3     -7.5403    -7.54672  0.00277533
           4    -7.53974    -7.54498  0.00257271
           5    -7.54728    -7.54544  0.00209882
           6     -7.5597    -7.54781  0.00278695
           7    -7.54771     -7.5478  0.00238886
           8    -7.52659    -7.54515  0.00324324
           9    -7.54086    -7.54467  0.00291761
          10    -7.54967    -7.54517   0.0026683
          11    -7.55377    -7.54595  0.00253763
          12    -7.53737    -7.54524  0.00242484
          13    -7.54059    -7.54488  0.00226453
          14    -7.54119    -7.54462  0.00211807
          15     -7.5557    -7.54535  0.00210174
          16    -7.54625    -7.54541  0.00197113
          17    -7.54622    -7.54546  0.00185575
          18    -7.53929    -7.54512  0.00178403
          19    -7.54633    -7.54518  0.00169127
          20    -7.55019    -7.54543  0.00162513
          21    -7.54935    -7.54562  0.00155844
          22    -7.55265    -7.54594  0.00152002
          23    -7.54227    -7.54578  0.00146227
          24    -7.54134    -7.54559  0.00141298
          25    -7.54083     -7.5454  0.00136922
          26    -7.53965    -7.54518  0.00133429
          27     -7.5573    -7.54563   0.0013583
          28    -7.54591    -7.54564  0.00130982
          29    -7.54493    -7.54561  0.00126488
          30    -7.54932    -7.54574  0.00122874
          31    -7.54889    -7.54584   0.0011933
          32    -7.55445    -7.54611  0.00118598
          33     -7.5399    -7.54592  0.00116489
          34    -7.54751    -7.54597  0.00113157
          35    -7.53687    -7.54571  0.00112873
          36    -7.54166     -7.5456  0.00110296
          37    -7.55796    -7.54593  0.00112266
          38    -7.54347    -7.54586  0.00109498
          39     -7.5537    -7.54607  0.00108519
          40    -7.55153     -7.5462  0.00106661
          41    -7.57335    -7.54686  0.00122902
          42    -7.54273    -7.54677  0.00120368
          43    -7.54229    -7.54666  0.00118019
          44    -7.54773    -7.54669  0.00115362
          45    -7.53989    -7.54654  0.00113783
          46    -7.55341    -7.54668  0.00112286
          47    -7.53247    -7.54638  0.00113899
          48    -7.55666     -7.5466  0.00113522
          49    -7.53562    -7.54637  0.00113395
          50    -7.54408    -7.54633  0.00111219
