#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1     7.75822     7.75822           0
           2      7.7356     7.74691   0.0079976
           3     7.80105     7.76496   0.0156721
           4     7.80303     7.77447   0.0143565
           5     7.76296     7.77217   0.0116683
           6     7.69189     7.75879   0.0156119
           7     7.75614     7.75841   0.0133862
           8     7.87616     7.77313    0.018076
           9     7.79499     7.77556   0.0162299
          10     7.74842     7.77285   0.0148322
          11     7.72447     7.76845   0.0141208
          12     7.81643     7.77245   0.0134984
          13     7.79838     7.77444   0.0126066
          14     7.79468     7.77589   0.0117887
          15     7.71669     7.77194   0.0116446
          16     7.76645      7.7716   0.0109219
          17      7.7662     7.77128    0.010284
          18     7.80283     7.77303  0.00986093
          19     7.76629     7.77268  0.00934832
          20     7.74524     7.77131  0.00898102
          21     7.75019      7.7703  0.00860944
          22     7.73431     7.76867  0.00837207
          23     7.78694     7.76946  0.00804567
          24     7.79209      7.7704  0.00776549
          25     7.79994     7.77158  0.00754424
          26     7.80339     7.77281   0.0073526
          27     7.70755     7.77039  0.00746695
          28     7.77522     7.77056  0.00720226
          29     7.77543     7.77073  0.00695586
          30     7.74833     7.76998  0.00676395
          31      7.7535     7.76945  0.00656662
          32     7.72373     7.76802  0.00651503
          33     7.80348      7.7691  0.00640559
          34     7.76202     7.76889  0.00622058
          35     7.81751     7.77028  0.00619603
          36     7.79434     7.77095  0.00605986
          37     7.70637      7.7692  0.00614231
          38     7.78323     7.76957  0.00599175
          39     7.72292     7.76838  0.00595632
          40     7.73837     7.76763  0.00585446
          41      7.6188       7.764  0.00674366
          42     7.78704     7.76454  0.00660539
          43     7.78906     7.76511  0.00647633
          44     7.76229     7.76505  0.00632946
          45     7.80286     7.76589  0.00624433
          46     7.72701     7.76505  0.00616552
          47     7.84344     7.76671   0.0062559
          48      7.7114     7.76556  0.00623079
          49     7.82815     7.76684  0.00623318
          50     7.77453     7.76699  0.00611041
