#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -7.62608    -7.62608           0
           2    -7.54416    -7.58512   0.0289652
           3    -7.38998    -7.52007    0.056513
           4    -7.28038    -7.46015   0.0670046
           5    -7.18651    -7.40542   0.0725914
           6    -7.09646    -7.35393   0.0766096
           7    -7.08365    -7.31532   0.0747649
           8    -7.00047    -7.27596    0.075066
           9    -7.03825    -7.24955   0.0712205
          10    -7.01399    -7.22599   0.0678822
          11    -6.97437    -7.20312    0.065452
          12    -6.86758    -7.17516   0.0656995
          13    -6.85571    -7.15058   0.0650789
          14    -6.83764    -7.12823   0.0641544
          15    -6.88763    -7.11219   0.0618501
          16    -6.84357     -7.0954   0.0602199
          17    -6.81421    -7.07886   0.0589055
          18    -6.86281    -7.06686   0.0568426
          19    -6.84273    -7.05506   0.0550613
          20     -6.7693    -7.04077   0.0541303
          21    -6.77007    -7.02788   0.0530654
          22    -6.76831    -7.01609   0.0519485
          23    -6.78615    -7.00609   0.0506426
          24    -6.83826     -6.9991   0.0490129
          25    -6.81001    -6.99153   0.0476324
          26    -6.84783      -6.986     0.04612
          27    -6.80339    -6.97924    0.044905
          28    -6.77206    -6.97184   0.0439067
          29    -6.80534     -6.9661   0.0427664
          30     -6.8313    -6.96161   0.0415762
          31    -6.73701    -6.95436   0.0408614
          32    -6.75467    -6.94812   0.0400582
          33    -6.76196    -6.94248   0.0392395
          34    -6.77005    -6.93741   0.0384117
          35    -6.76405    -6.93246   0.0376323
          36    -6.74131    -6.92715   0.0369596
          37    -6.77429    -6.92302   0.0361908
          38    -6.76905    -6.91896   0.0354645
          39    -6.76013    -6.91489   0.0347883
          40    -6.78302    -6.91159   0.0340744
          41    -6.72383    -6.90701   0.0335497
          42     -6.7759    -6.90389   0.0328958
          43    -6.76649     -6.9007   0.0322856
          44    -6.74325    -6.89712   0.0317495
          45     -6.6976    -6.89268    0.031352
          46    -6.72568    -6.88905     0.03088
          47    -6.66228    -6.88423   0.0305976
          48    -6.61162    -6.87855   0.0304826
          49    -6.63092     -6.8735   0.0302766
          50    -6.70501    -6.87013    0.029858
          51    -6.73653    -6.86751   0.0293872
          52    -6.70923    -6.86446   0.0289793
          53    -6.68128    -6.86101   0.0286378
          54     -6.5975    -6.85613   0.0285202
          55     -6.5841    -6.85118   0.0284273
          56    -6.52283    -6.84532    0.028518
          57    -6.48008    -6.83891   0.0287285
          58    -6.50353    -6.83313   0.0288093
          59    -6.65406    -6.83009   0.0284804
          60    -6.57179    -6.82579   0.0283292
          61     -6.5473    -6.82122   0.0282303
          62    -6.52982    -6.81652   0.0281635
          63    -6.50229    -6.81153   0.0281546
          64    -6.52712    -6.80709   0.0280632
          65    -6.61815    -6.80418   0.0277816
          66    -6.59966    -6.80108    0.027533
          67    -6.62415    -6.79844   0.0272484
          68    -6.63594    -6.79605   0.0269523
          69    -6.65107    -6.79395   0.0266435
          70    -6.65003     -6.7919    0.026342
          71    -6.59528    -6.78913   0.0261162
          72    -6.57167    -6.78611   0.0259275
          73    -6.52875    -6.78258   0.0258109
          74    -6.48479    -6.77856   0.0257739
          75    -6.57222    -6.77581   0.0255767
          76    -6.57898    -6.77322   0.0253709
          77    -6.56604    -6.77053   0.0251837
          78    -6.64318    -6.76889   0.0249137
          79    -6.65552    -6.76746   0.0246396
          80    -6.56791    -6.76496   0.0244575
          81    -6.56098    -6.76245   0.0242849
          82    -6.52512    -6.75955   0.0241606
          83    -6.52327     -6.7567   0.0240366
          84    -6.55631    -6.75432   0.0238686
          85    -6.55264    -6.75195   0.0237054
          86    -6.58077    -6.74996   0.0235132
          87    -6.59629    -6.74819   0.0233092
          88    -6.62946    -6.74684   0.0230833
          89    -6.66036    -6.74587   0.0228444
          90    -6.64163    -6.74471   0.0226199
          91    -6.69133    -6.74412   0.0223789
          92    -6.70852    -6.74374    0.022139
          93    -6.61858    -6.74239   0.0219418
          94    -6.57534    -6.74061   0.0217803
          95     -6.5134    -6.73822   0.0216819
          96    -6.57314     -6.7365   0.0215242
          97    -6.50223    -6.73409   0.0214373
          98    -6.53471    -6.73205   0.0213149
          99    -6.51398    -6.72985   0.0212131
         100    -6.59754    -6.72853   0.0210422
         101    -6.61862    -6.72744    0.020862
         102    -6.58894    -6.72608   0.0207016
         103     -6.6733    -6.72557   0.0205069
         104    -6.69479    -6.72527   0.0203119
         105    -6.69807    -6.72501   0.0201201
         106    -6.67375    -6.72453   0.0199361
         107    -6.63498    -6.72369   0.0197673
         108    -6.65827    -6.72309   0.0195936
         109    -6.66442    -6.72255   0.0194212
         110     -6.5883    -6.72133    0.019283
         111    -6.68435      -6.721   0.0191121
         112    -6.76354    -6.72138   0.0189453
         113    -6.69969    -6.72118   0.0187786
         114    -6.71406    -6.72112    0.018614
         115    -6.58972    -6.71998   0.0184871
         116    -6.63154    -6.71922   0.0183435
         117    -6.49834    -6.71733   0.0182836
         118    -6.60019    -6.71634   0.0181556
         119    -6.66895    -6.71594   0.0180074
         120    -6.68318    -6.71566   0.0178594
         121    -6.68097    -6.71538   0.0177141
         122    -6.69654    -6.71522   0.0175696
         123     -6.6298    -6.71453   0.0174404
         124     -6.6674    -6.71415   0.0173039
         125    -6.63816    -6.71354   0.0171762
         126    -6.55515    -6.71228   0.0170858
         127    -6.59324    -6.71135   0.0169769
         128    -6.58459    -6.71036   0.0168732
         129    -6.60102    -6.70951   0.0167636
         130    -6.75976    -6.70989   0.0166391
         131    -6.74268    -6.71015    0.016514
         132    -6.64398    -6.70964   0.0163965
         133    -6.62726    -6.70902   0.0162849
         134     -6.6217    -6.70837   0.0161764
         135    -6.71789    -6.70844   0.0160568
         136    -6.76417    -6.70885   0.0159439
         137    -6.76895    -6.70929   0.0158336
         138    -6.74792    -6.70957   0.0157213
         139    -6.78163    -6.71009   0.0156168
         140     -6.6764    -6.70985   0.0155071
         141    -6.73782    -6.71005   0.0153984
         142    -6.69981    -6.70998   0.0152901
         143    -6.66347    -6.70965   0.0151866
         144    -6.68182    -6.70946   0.0150824
         145    -6.73342    -6.70962   0.0149793
         146    -6.69474    -6.70952    0.014877
         147    -6.62065    -6.70892   0.0147881
         148    -6.61964    -6.70831   0.0147005
         149    -6.56838    -6.70737   0.0146318
         150    -6.54538    -6.70629    0.014574
         151    -6.54254    -6.70521   0.0145178
         152    -6.55135     -6.7042   0.0144576
         153    -6.61726    -6.70363   0.0143742
         154    -6.69969     -6.7036   0.0142809
         155    -6.64594    -6.70323   0.0141936
         156    -6.62754    -6.70275   0.0141109
         157    -6.63465    -6.70231   0.0140277
         158    -6.61857    -6.70178   0.0139489
         159    -6.53564    -6.70074   0.0139003
         160    -6.58491    -6.70001   0.0138322
         161    -6.60457    -6.69942    0.013759
         162    -6.64542    -6.69909   0.0136781
         163    -6.56648    -6.69827   0.0136184
         164    -6.56062    -6.69743   0.0135612
         165    -6.58737    -6.69677   0.0134954
         166    -6.63635     -6.6964    0.013419
         167    -6.65088    -6.69613   0.0133414
         168    -6.60954    -6.69562    0.013272
         169     -6.6555    -6.69538   0.0131955
         170    -6.57438    -6.69467   0.0131371
         171    -6.52873     -6.6937   0.0130961
         172    -6.57152    -6.69299   0.0130392
         173    -6.55539    -6.69219    0.012988
         174    -6.58953     -6.6916   0.0129268
         175    -6.56638    -6.69088   0.0128727
         176    -6.51358    -6.68988   0.0128389
         177    -6.53834    -6.68902   0.0127949
         178    -6.58003    -6.68841   0.0127377
         179    -6.53874    -6.68757   0.0126939
         180    -6.56447    -6.68689   0.0126418
         181     -6.6583    -6.68673    0.012573
         182    -6.70041    -6.68681   0.0125041
         183    -6.69398    -6.68685   0.0124358
         184    -6.65305    -6.68666   0.0123696
         185    -6.63454    -6.68638   0.0123059
         186    -6.64563    -6.68616   0.0122417
         187     -6.7264    -6.68638   0.0121782
         188    -6.63499     -6.6861   0.0121165
         189    -6.59273    -6.68561   0.0120624
         190    -6.56458    -6.68497   0.0120157
         191    -6.68653    -6.68498   0.0119528
         192    -6.73866    -6.68526   0.0118938
         193    -6.69857    -6.68533   0.0118324
         194    -6.71948     -6.6855   0.0117727
         195    -6.64723    -6.68531    0.011714
         196    -6.64931    -6.68512   0.0116557
         197    -6.71857    -6.68529   0.0115977
         198    -6.81659    -6.68596   0.0115581
         199    -6.65436     -6.6858   0.0115011
         200     -6.6614    -6.68568   0.0114443
         201    -6.77898    -6.68614   0.0113967
         202    -6.73363    -6.68638   0.0113427
         203    -6.70982    -6.68649   0.0112874
         204    -6.65287    -6.68633   0.0112333
         205    -6.65905    -6.68619   0.0111793
         206     -6.6206    -6.68587   0.0111296
         207    -6.64634    -6.68568   0.0110775
         208    -6.68303    -6.68567   0.0110242
         209    -6.60554    -6.68529   0.0109781
         210    -6.53049    -6.68455   0.0109506
         211    -6.51402    -6.68374   0.0109285
         212    -6.52605      -6.683   0.0109022
         213    -6.50721    -6.68217   0.0108822
         214    -6.53488    -6.68148   0.0108531
         215    -6.59958     -6.6811   0.0108093
         216    -6.49878    -6.68026   0.0107922
         217    -6.59555    -6.67987   0.0107495
         218    -6.52634    -6.67917   0.0107232
         219    -6.66744    -6.67911   0.0106744
         220    -6.64028    -6.67894   0.0106273
         221    -6.55482    -6.67837   0.0105941
         222    -6.62857    -6.67815   0.0105487
         223     -6.6408    -6.67798   0.0105027
         224    -6.58764    -6.67758   0.0104636
