#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1        2.97        2.97           0
           2     2.96997     2.96999 9.46101e-06
           3     2.96989     2.96996 2.62381e-05
           4     2.96976     2.96991 4.67586e-05
           5     2.96957     2.96984 7.04505e-05
           6     2.96933     2.96976 9.69422e-05
           7     2.96904     2.96965 0.000125973
           8     2.96869     2.96953 0.000157351
           9     2.96829      2.9694 0.000190924
          10     2.96784     2.96924 0.000226575
          11     2.96733     2.96907 0.000264208
          12     2.96677     2.96887 0.000303745
          13     2.96615     2.96866 0.000345121
          14     2.96548     2.96844 0.000388282
          15     2.96475     2.96819 0.000433186
          16     2.96397     2.96793 0.000479795
          17     2.96313     2.96765 0.000528082
          18     2.96223     2.96735 0.000578021
          19     2.96128     2.96703 0.000629595
          20     2.96027     2.96669  0.00068279
          21      2.9592     2.96633 0.000737594
          22     2.95807     2.96596 0.000794003
          23     2.95687     2.96556 0.000852012
          24     2.95562     2.96515 0.000911621
          25     2.95431     2.96471 0.000972832
          26     2.95293     2.96426  0.00103564
          27     2.95149     2.96379  0.00110004
          28     2.94998     2.96329  0.00116603
          29     2.94841     2.96278  0.00123364
          30     2.94677     2.96225  0.00130289
          31     2.94506     2.96169  0.00137378
          32     2.94328     2.96112  0.00144632
          33     2.94143     2.96052  0.00152053
          34     2.93951      2.9599  0.00159642
          35     2.93752     2.95926  0.00167401
          36     2.93545      2.9586  0.00175331
          37     2.93331     2.95792  0.00183435
          38     2.93109     2.95721  0.00191717
          39     2.92878     2.95648  0.00200179
          40      2.9264     2.95573  0.00208825
          41     2.92393     2.95496  0.00217657
          42     2.92138     2.95416  0.00226679
          43     2.91874     2.95333  0.00235893
          44     2.91602     2.95248  0.00245304
          45      2.9132     2.95161  0.00254913
          46     2.91029     2.95071  0.00264725
          47     2.90729     2.94979  0.00274743
          48     2.90419     2.94884  0.00284971
          49     2.90099     2.94786  0.00295411
          50     2.89769     2.94686  0.00306069
          51     2.89429     2.94583  0.00316947
          52     2.89079     2.94477   0.0032805
          53     2.88718     2.94368  0.00339381
          54     2.88345     2.94257  0.00350946
          55     2.87962     2.94142  0.00362748
          56     2.87567     2.94025  0.00374792
          57     2.87161     2.93905  0.00387081
          58     2.86742     2.93781   0.0039962
          59     2.86312     2.93654  0.00412411
          60     2.85869     2.93525  0.00425461
          61     2.85414     2.93392  0.00438772
          62     2.84945     2.93255   0.0045235
          63     2.84464     2.93116  0.00466198
