#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1    -6.36472    -6.36472           0
           2    -6.36464    -6.36468 2.83574e-05
           3    -6.36451    -6.36462 5.08985e-05
           4    -6.36432    -6.36455 7.58161e-05
           5    -6.36408    -6.36445 0.000103231
           6    -6.36379    -6.36434 0.000133027
           7    -6.36344    -6.36421 0.000165072
           8    -6.36304    -6.36407 0.000199249
           9    -6.36258     -6.3639 0.000235456
          10    -6.36208    -6.36372 0.000273609
          11    -6.36151    -6.36352 0.000313637
          12     -6.3609     -6.3633 0.000355482
          13    -6.36023    -6.36306 0.000399096
          14     -6.3595    -6.36281 0.000444437
          15    -6.35872    -6.36254 0.000491471
          16    -6.35788    -6.36225 0.000540173
          17    -6.35698    -6.36194  0.00059052
          18    -6.35603    -6.36161 0.000642494
          19    -6.35502    -6.36126 0.000696083
          20    -6.35394    -6.36089 0.000751279
          21    -6.35281    -6.36051 0.000808075
          22    -6.35162    -6.36011 0.000866469
          23    -6.35037    -6.35968 0.000926461
          24    -6.34905    -6.35924 0.000988055
          25    -6.34752    -6.35877  0.00105381
          26    -6.34593    -6.35828  0.00112303
          27    -6.34443    -6.35776  0.00119286
          28    -6.34285    -6.35723  0.00126355
          29    -6.34121    -6.35668  0.00133526
          30    -6.33935     -6.3561  0.00141014
          31    -6.33727    -6.35549  0.00148972
          32    -6.33527    -6.35486  0.00157147
          33    -6.33335    -6.35421  0.00165349
          34    -6.33091    -6.35353  0.00174112
          35    -6.32854    -6.35281   0.0018319
          36     -6.3264    -6.35208  0.00192237
          37    -6.32417    -6.35132  0.00201292
          38    -6.32157    -6.35054  0.00210675
          39    -6.31918    -6.34974  0.00220081
          40    -6.31626     -6.3489  0.00229937
          41    -6.31371    -6.34804   0.0023981
          42    -6.31092    -6.34716  0.00249854
          43    -6.30774    -6.34624  0.00260313
          44    -6.30478     -6.3453  0.00270917
          45    -6.30172    -6.34433  0.00281676
          46    -6.29826    -6.34333  0.00292816
          47    -6.29471    -6.34229  0.00304311
          48    -6.29136    -6.34123   0.0031593
          49    -6.28761    -6.34014  0.00327889
          50    -6.28391    -6.33901  0.00340072
          51    -6.28025    -6.33786  0.00352383
          52    -6.27618    -6.33668  0.00365022
          53    -6.27216    -6.33546  0.00377887
          54    -6.26803    -6.33421  0.00390978
          55    -6.26377    -6.33293  0.00404299
          56     -6.2591    -6.33161   0.0041802
          57    -6.25447    -6.33026   0.0043204
          58    -6.25001    -6.32887  0.00446194
          59    -6.24528    -6.32746  0.00460576
          60    -6.23997      -6.326  0.00475419
          61    -6.23484     -6.3245  0.00490551
          62    -6.22987    -6.32298  0.00505828
          63    -6.22447    -6.32141  0.00521407
          64    -6.21878    -6.31981  0.00537356
          65     -6.2134    -6.31817  0.00553465
          66    -6.20758     -6.3165  0.00569882
          67    -6.20161    -6.31478  0.00586608
          68    -6.19579    -6.31303  0.00603516
          69    -6.18983    -6.31125  0.00620623
          70     -6.1837    -6.30943  0.00637943
          71    -6.17743    -6.30757  0.00655489
          72    -6.17114    -6.30567  0.00673215
          73    -6.16409    -6.30373  0.00691366
          74    -6.15748    -6.30176  0.00709711
          75    -6.15025    -6.29974   0.0072843
          76      -6.143    -6.29767  0.00747468
          77    -6.13558    -6.29557  0.00766831
          78    -6.12799    -6.29342   0.0078652
          79    -6.11962    -6.29122  0.00806746
          80    -6.11167    -6.28898  0.00827291
          81    -6.10355    -6.28669   0.0084816
          82    -6.09509    -6.28435  0.00869406
          83    -6.08644    -6.28197  0.00891028
          84    -6.07777    -6.27953   0.0091298
          85    -6.06905    -6.27706  0.00935218
          86    -6.06015    -6.27454   0.0095775
          87    -6.05091    -6.27197  0.00980628
          88    -6.04162    -6.26935   0.0100381
          89     -6.0323    -6.26668   0.0102726
          90    -6.02233    -6.26397   0.0105111
          91    -6.01262    -6.26121   0.0107524
          92    -6.00272     -6.2584   0.0109965
          93    -5.99262    -6.25554   0.0112435
          94    -5.98279    -6.25264   0.0114922
          95    -5.97231    -6.24969    0.011744
          96    -5.96164    -6.24669   0.0119988
          97    -5.95093    -6.24364   0.0122564
          98    -5.93973    -6.24054   0.0125175
          99    -5.92864    -6.23739   0.0127814
         100    -5.91692    -6.23418   0.0130491
         101    -5.90532    -6.23093     0.01332
         102    -5.89355    -6.22762   0.0135939
         103    -5.88174    -6.22426   0.0138704
         104    -5.86931    -6.22085   0.0141507
         105    -5.85656    -6.21738    0.014435
         106     -5.8441    -6.21386   0.0147221
         107    -5.83148    -6.21028    0.015012
         108     -5.8187    -6.20666   0.0153046
         109    -5.80563    -6.20298   0.0156001
         110    -5.79255    -6.19925   0.0158982
         111     -5.7795    -6.19547   0.0161985
