#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1    -4.62476    -4.62476           0
           2    -4.62415    -4.62445 0.000214994
           3    -4.62316    -4.62402 0.000381167
           4    -4.62178    -4.62346 0.000563704
           5    -4.62001    -4.62277 0.000763894
           6    -4.61787    -4.62195 0.000981011
           7    -4.61533    -4.62101  0.00121412
           8    -4.61241    -4.61993  0.00146234
           9    -4.60911    -4.61873  0.00172491
          10    -4.60542     -4.6174  0.00200116
          11    -4.60134    -4.61594  0.00229052
          12    -4.59688    -4.61435   0.0025925
          13    -4.59203    -4.61264  0.00290664
          14    -4.58679    -4.61079  0.00323259
          15    -4.58116    -4.60881  0.00356999
          16    -4.57514    -4.60671  0.00391855
          17    -4.56872    -4.60447  0.00427802
          18    -4.56191    -4.60211  0.00464816
          19     -4.5547    -4.59961  0.00502877
          20     -4.5471    -4.59699  0.00541966
          21    -4.53909    -4.59423  0.00582067
          22    -4.53069    -4.59134  0.00623167
          23    -4.52188    -4.58832  0.00665251
          24    -4.51266    -4.58517   0.0070831
          25    -4.50279    -4.58188  0.00752735
          26    -4.49251    -4.57844  0.00798407
          27    -4.48206    -4.57487  0.00844874
          28    -4.47119    -4.57117  0.00892162
          29     -4.4599    -4.56733  0.00940292
          30    -4.44794    -4.56335  0.00989589
          31    -4.43532    -4.55922   0.0104029
          32     -4.4225    -4.55495   0.0109199
          33     -4.4095    -4.55054    0.011444
          34    -4.39533    -4.54597   0.0119833
          35    -4.38097    -4.54126    0.012534
          36    -4.36664    -4.53641   0.0130908
          37    -4.35186    -4.53142   0.0136542
          38    -4.33614    -4.52628   0.0142291
          39    -4.32045      -4.521   0.0148107
          40    -4.30357    -4.51557   0.0154057
          41    -4.28695    -4.50999   0.0160073
          42    -4.26961    -4.50427   0.0166179
          43    -4.25132    -4.49839   0.0172412
          44    -4.23302    -4.49236   0.0178731
          45    -4.21424    -4.48618   0.0185137
          46    -4.19448    -4.47983   0.0191665
          47    -4.17422    -4.47333    0.019831
          48    -4.15394    -4.46668   0.0205038
          49    -4.13268    -4.45986   0.0211881
          50    -4.11113    -4.45289   0.0218822
          51    -4.08931    -4.44576   0.0225846
          52    -4.06648    -4.43846   0.0232983
          53    -4.04336    -4.43101   0.0240218
          54    -4.01969    -4.42339   0.0247551
          55    -3.99549    -4.41561   0.0254983
          56    -3.97025    -4.40766    0.026254
          57     -3.9447    -4.39954   0.0270205
          58    -3.91906    -4.39125   0.0277956
          59    -3.89262     -4.3828   0.0285804
          60    -3.86488    -4.37417   0.0293788
          61    -3.83703    -4.36536   0.0301879
          62    -3.80908    -4.35639   0.0310057
          63    -3.78005    -4.34724   0.0318346
          64    -3.75019    -4.33791   0.0326755
          65    -3.72043    -4.32841   0.0335253
          66    -3.68958    -4.31874   0.0343863
          67     -3.6581    -4.30888   0.0352584
          68    -3.62648    -4.29884   0.0361398
          69    -3.59423    -4.28863   0.0370307
          70    -3.56133    -4.27824   0.0379312
          71    -3.52779    -4.26767   0.0388417
          72    -3.49384    -4.25692   0.0397614
          73    -3.45827    -4.24598    0.040694
          74    -3.42301    -4.23486   0.0416361
          75    -3.38635    -4.22355   0.0425902
          76    -3.34926    -4.21204   0.0435557
          77    -3.31149    -4.20035   0.0445326
          78    -3.27305    -4.18846   0.0455209
          79    -3.23296    -4.17636   0.0465238
          80    -3.19314    -4.16407   0.0475379
          81    -3.15262    -4.15159   0.0485633
          82    -3.11117     -4.1389   0.0496009
          83    -3.06903    -4.12601   0.0506505
          84    -3.02642    -4.11292   0.0517114
          85    -2.98336    -4.09963   0.0527829
          86    -2.93959    -4.08614   0.0538652
          87    -2.89488    -4.07245   0.0549588
          88    -2.84971    -4.05855   0.0560632
          89    -2.80408    -4.04446   0.0571777
          90    -2.75702    -4.03015   0.0583044
          91       -2.71    -4.01565   0.0594411
          92    -2.66227    -4.00093    0.060588
          93    -2.61386    -3.98602    0.061745
          94    -2.56549    -3.97091   0.0629103
          95    -2.51571    -3.95559   0.0640858
          96    -2.46527    -3.94007   0.0652714
          97     -2.4144    -3.92434   0.0664666
          98    -2.36239     -3.9084   0.0676723
          99    -2.31022    -3.89226   0.0688873
         100     -2.2567     -3.8759   0.0701132
         101    -2.20303    -3.85934   0.0713485
         102    -2.14875    -3.84257   0.0725932
         103    -2.09411    -3.82559   0.0738465
         104    -2.03817     -3.8084   0.0751098
         105    -1.98142    -3.79101   0.0763833
         106    -1.92485     -3.7734   0.0776651
         107    -1.86774    -3.75559   0.0789549
         108    -1.81012    -3.73758   0.0802525
         109    -1.75176    -3.71936   0.0815579
         110    -1.69318    -3.70094   0.0828704
         111    -1.63438    -3.68232   0.0841892
         112     -1.5754    -3.66351   0.0855134
         113    -1.51626    -3.64451   0.0868422
         114    -1.45602    -3.62531   0.0881768
         115     -1.3947    -3.60591    0.089518
         116    -1.33425    -3.58633   0.0908631
         117    -1.27303    -3.56656   0.0922126
         118    -1.21105     -3.5466   0.0935668
         119    -1.14978    -3.52645   0.0949236
         120    -1.08806    -3.50613   0.0962829
         121    -1.02614    -3.48564   0.0976443
         122   -0.963105    -3.46496   0.0990089
         123   -0.901139    -3.44412    0.100374
         124   -0.838108     -3.4231    0.101741
         125   -0.775486    -3.40192    0.103108
         126   -0.713061    -3.38058    0.104475
         127   -0.651105    -3.35909     0.10584
         128   -0.588926    -3.33745    0.107203
         129    -0.52631    -3.31565    0.108564
         130   -0.463769    -3.29372    0.109923
         131   -0.401574    -3.27164    0.111279
         132   -0.339992    -3.24943     0.11263
         133   -0.277368    -3.22708    0.113979
         134   -0.214933    -3.20461    0.115324
         135   -0.152716      -3.182    0.116664
         136  -0.0917057    -3.15928    0.117998
         137  -0.0307272    -3.13644    0.119326
         138    0.029712     -3.1135    0.120647
         139   0.0905479    -3.09045    0.121961
         140    0.150308     -3.0673    0.123267
         141    0.210654    -3.04405    0.124566
         142    0.269876    -3.02071    0.125856
         143     0.32867    -2.99729    0.127137
         144    0.386771    -2.97379    0.128407
         145    0.444636    -2.95021    0.129668
         146    0.502723    -2.92656    0.130919
         147    0.560046    -2.90285    0.132159
         148     0.61682    -2.87906    0.133389
         149    0.673024    -2.85522    0.134607
         150    0.728153    -2.83134    0.135813
         151    0.782425     -2.8074    0.137006
         152    0.835818    -2.78343    0.138185
         153    0.889272    -2.75943    0.139352
         154    0.942045    -2.73539    0.140504
         155    0.993391    -2.71134    0.141642
         156     1.04498    -2.68726    0.142766
         157     1.09557    -2.66316    0.143876
         158     1.14468    -2.63906     0.14497
         159     1.19372    -2.61496    0.146048
         160     1.24196    -2.59085    0.147111
         161     1.28913    -2.56675    0.148158
         162     1.33569    -2.54266    0.149189
         163     1.38115    -2.51859    0.150204
         164     1.42548    -2.49454    0.151201
         165     1.46963    -2.47052    0.152181
         166     1.51262    -2.44652    0.153144
         167     1.55467    -2.42256     0.15409
         168     1.59576    -2.39864    0.155018
         169     1.63685    -2.37477    0.155929
         170     1.67551    -2.35094    0.156822
         171     1.71365    -2.32717    0.157696
         172     1.75053    -2.30346    0.158551
         173     1.78614    -2.27982    0.159387
         174     1.82095    -2.25626    0.160204
         175     1.85495    -2.23276    0.161002
         176     1.88764    -2.20935     0.16178
         177     1.91951    -2.18603    0.162539
         178     1.95006    -2.16279    0.163278
         179     1.97976    -2.13965    0.163998
         180     2.00837     -2.1166    0.164698
         181     2.03517    -2.09366    0.165378
         182      2.0611    -2.07084    0.166037
         183     2.08642    -2.04812    0.166677
         184     2.11064    -2.02552    0.167296
         185     2.13329    -2.00304    0.167896
         186      2.1546    -1.98068    0.168474
         187     2.17579    -1.95846    0.169033
         188     2.19615    -1.93636    0.169573
         189     2.21447     -1.9144    0.170092
         190     2.23222    -1.89257    0.170591
         191     2.24869    -1.87089     0.17107
         192     2.26485    -1.84935     0.17153
         193     2.27952    -1.82796     0.17197
         194      2.2932    -1.80671    0.172391
         195     2.30591    -1.78562    0.172792
         196      2.3179    -1.76469    0.173174
         197     2.32849    -1.74391    0.173537
         198      2.3389    -1.72329    0.173881
         199     2.34796    -1.70283    0.174207
         200     2.35616    -1.68253    0.174514
         201     2.36307    -1.66241    0.174803
         202     2.36968    -1.64245    0.175073
         203     2.37528    -1.62265    0.175326
         204     2.38016    -1.60303    0.175561
         205     2.38459    -1.58358    0.175779
         206     2.38812     -1.5643     0.17598
         207     2.39151    -1.54519    0.176164
         208     2.39406    -1.52625    0.176332
         209     2.39582    -1.50749    0.176484
         210     2.39705    -1.48889    0.176621
         211     2.39875    -1.47047    0.176742
         212     2.39879    -1.45222    0.176848
         213     2.39938    -1.43413     0.17694
         214     2.39884    -1.41622    0.177017
         215     2.39796    -1.39848    0.177081
         216     2.39698    -1.38091    0.177131
         217     2.39523    -1.36351    0.177167
         218     2.39345    -1.34628    0.177191
         219     2.39167    -1.32921    0.177202
         220     2.38992     -1.3123    0.177201
         221     2.38703    -1.29556    0.177188
         222     2.38446    -1.27899    0.177163
         223     2.38151    -1.26257    0.177128
         224     2.37917    -1.24631    0.177081
         225     2.37626    -1.23021    0.177025
         226     2.37352    -1.21427    0.176958
         227     2.37049    -1.19848    0.176882
         228     2.36767    -1.18284    0.176796
         229     2.36507    -1.16734    0.176702
         230     2.36175      -1.152    0.176598
         231     2.35915     -1.1368    0.176487
         232     2.35659    -1.12174    0.176367
         233     2.35406    -1.10682     0.17624
         234     2.35109    -1.09205    0.176105
         235     2.34818    -1.07741    0.175963
         236     2.34533     -1.0629    0.175815
         237     2.34303    -1.04853    0.175659
         238     2.33984     -1.0343    0.175497
         239      2.3377    -1.02019    0.175329
         240      2.3354    -1.00621    0.175155
         241      2.3327   -0.992351    0.174975
         242     2.33105   -0.978618     0.17479
         243     2.32877   -0.965007      0.1746
         244     2.32706   -0.951515    0.174405
         245      2.3252   -0.938141    0.174205
         246     2.32343   -0.924883    0.174001
         247     2.32223   -0.911736    0.173792
         248     2.32015   -0.898705     0.17358
         249     2.31815   -0.885785    0.173363
         250     2.31672   -0.872975    0.173142
         251     2.31511   -0.860274    0.172917
         252     2.31334    -0.84768    0.172689
         253     2.31188   -0.835192    0.172457
         254     2.31072   -0.822806    0.172223
         255     2.30987   -0.810521    0.171985
         256     2.30882   -0.798336    0.171744
         257     2.30807   -0.786249    0.171501
         258     2.30689    -0.77426    0.171254
         259     2.30647   -0.762366    0.171006
         260     2.30584   -0.750565    0.170755
         261     2.30476   -0.738859    0.170501
         262     2.30395   -0.727245    0.170246
         263     2.30292   -0.715723    0.169988
         264     2.30215   -0.704292    0.169728
         265     2.30068   -0.692952    0.169466
         266     2.30017     -0.6817    0.169202
         267     2.29968   -0.670534    0.168936
         268     2.29894   -0.659454    0.168669
         269     2.29845   -0.648458      0.1684
         270     2.29772   -0.637546    0.168129
         271     2.29746   -0.626716    0.167857
         272     2.29671   -0.615968    0.167584
         273     2.29572   -0.605302    0.167309
         274     2.29543   -0.594716    0.167033
         275      2.2949   -0.584208    0.166756
         276     2.29435   -0.573778    0.166477
         277     2.29355   -0.563427    0.166198
