#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1        1.98        1.98           0
           2     1.97998     1.97999 6.30736e-06
           3     1.97993     1.97997  1.7492e-05
           4     1.97984     1.97994 3.11724e-05
           5     1.97972     1.97989  4.6967e-05
           6     1.97956     1.97984 6.46281e-05
           7     1.97936     1.97977 8.39823e-05
           8     1.97913     1.97969   0.0001049
           9     1.97886      1.9796 0.000127283
          10     1.97856     1.97949  0.00015105
          11     1.97822     1.97938 0.000176139
          12     1.97785     1.97925 0.000202497
          13     1.97743     1.97911  0.00023008
          14     1.97699     1.97896 0.000258855
          15      1.9765     1.97879  0.00028879
          16     1.97598     1.97862 0.000319864
          17     1.97542     1.97843 0.000352055
          18     1.97482     1.97823 0.000385348
          19     1.97419     1.97802  0.00041973
          20     1.97351     1.97779 0.000455193
          21      1.9728     1.97755  0.00049173
          22     1.97204      1.9773 0.000529335
          23     1.97125     1.97704 0.000568008
          24     1.97041     1.97676 0.000607747
          25     1.96954     1.97648 0.000648555
          26     1.96862     1.97617 0.000690427
          27     1.96766     1.97586 0.000733359
          28     1.96665     1.97553 0.000777355
          29     1.96561     1.97519 0.000822429
          30     1.96451     1.97483 0.000868592
          31     1.96337     1.97446 0.000915854
          32     1.96219     1.97408 0.000964216
          33     1.96096     1.97368  0.00101369
          34     1.95967     1.97327  0.00106428
          35     1.95835     1.97284    0.001116
          36     1.95697      1.9724  0.00116887
          37     1.95554     1.97195   0.0012229
          38     1.95406     1.97147  0.00127811
          39     1.95252     1.97099  0.00133453
          40     1.95093     1.97049  0.00139217
          41     1.94929     1.96997  0.00145105
          42     1.94759     1.96944  0.00151119
          43     1.94583     1.96889  0.00157262
          44     1.94401     1.96832  0.00163536
          45     1.94213     1.96774  0.00169942
          46     1.94019     1.96714  0.00176483
          47     1.93819     1.96653  0.00183162
          48     1.93613     1.96589  0.00189981
          49     1.93399     1.96524  0.00196941
          50      1.9318     1.96457  0.00204046
          51     1.92953     1.96389  0.00211298
          52     1.92719     1.96318    0.002187
          53     1.92478     1.96246  0.00226254
          54      1.9223     1.96171  0.00233964
          55     1.91975     1.96095  0.00241832
          56     1.91711     1.96017  0.00249861
          57      1.9144     1.95936  0.00258054
          58     1.91161     1.95854  0.00266413
          59     1.90875      1.9577  0.00274941
          60     1.90579     1.95683  0.00283641
          61     1.90276     1.95594  0.00292515
          62     1.89964     1.95504  0.00301566
          63     1.89643     1.95411  0.00310799
          64     1.89313     1.95315  0.00320215
          65     1.88974     1.95218  0.00329817
          66     1.88625     1.95118  0.00339609
          67     1.88267     1.95016  0.00349595
          68     1.87899     1.94911  0.00359777
          69     1.87522     1.94804  0.00370158
          70     1.87134     1.94694  0.00380742
          71     1.86736     1.94582  0.00391531
          72     1.86327     1.94468   0.0040253
          73     1.85908      1.9435   0.0041374
          74     1.85479      1.9423  0.00425165
          75     1.85038     1.94108  0.00436806
          76     1.84586     1.93983  0.00448666
          77     1.84123     1.93855  0.00460749
          78     1.83649     1.93724  0.00473057
          79     1.83162      1.9359  0.00485591
          80     1.82665     1.93453  0.00498355
          81     1.82155     1.93314   0.0051135
          82     1.81634     1.93172  0.00524578
          83       1.811     1.93026  0.00538043
          84     1.80554     1.92878  0.00551745
          85     1.79995     1.92726  0.00565686
          86     1.79425     1.92571  0.00579867
          87     1.78841     1.92414   0.0059429
          88     1.78245     1.92253  0.00608957
          89     1.77636     1.92088  0.00623867
          90     1.77015     1.91921  0.00639022
          91      1.7638      1.9175  0.00654421
          92     1.75733     1.91576  0.00670066
          93     1.75073     1.91398  0.00685957
          94       1.744     1.91218  0.00702092
          95     1.73714     1.91033  0.00718472
