#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -3.39472    -3.39472           0
           2    -3.39467    -3.39469 1.88964e-05
           3    -3.39461    -3.39467 2.51684e-05
           4    -3.39456    -3.39464 2.98226e-05
           5    -3.39451    -3.39461 3.37233e-05
           6    -3.39445    -3.39459 3.71681e-05
           7     -3.3944    -3.39456 4.03001e-05
           8    -3.39435    -3.39453 4.32021e-05
           9    -3.39429    -3.39451  4.5927e-05
          10    -3.39424    -3.39448 4.85118e-05
          11    -3.39418    -3.39445 5.09834e-05
          12    -3.39413    -3.39443 5.33625e-05
          13    -3.39407     -3.3944 5.56654e-05
          14    -3.39402    -3.39437 5.79051e-05
          15    -3.39396    -3.39434 6.00926e-05
          16    -3.39391    -3.39432 6.22369e-05
          17    -3.39385    -3.39429  6.4346e-05
          18    -3.39379    -3.39426 6.64266e-05
          19    -3.39373    -3.39423 6.84845e-05
          20    -3.39368    -3.39421 7.05252e-05
          21    -3.39362    -3.39418 7.25532e-05
          22    -3.39356    -3.39415 7.45728e-05
          23    -3.39349    -3.39412 7.65879e-05
          24    -3.39343    -3.39409  7.8602e-05
          25    -3.39322    -3.39406 8.28729e-05
          26      -3.393    -3.39402 8.90468e-05
          27    -3.39294    -3.39398 9.42764e-05
          28    -3.39287    -3.39394 9.88192e-05
          29    -3.39281     -3.3939 0.000102843
          30    -3.39259    -3.39386 0.000108335
          31    -3.39221     -3.3938 0.000117053
          32    -3.39199    -3.39375 0.000126302
          33    -3.39192    -3.39369 0.000134026
          34     -3.3914    -3.39362 0.000146098
          35    -3.39102    -3.39355 0.000159741
          36    -3.39094    -3.39348 0.000170914
          37    -3.39086    -3.39341 0.000180284
          38    -3.39048    -3.39333 0.000191252
          39     -3.3904    -3.39325 0.000200542
          40    -3.38986    -3.39317  0.00021267
          41    -3.38978    -3.39309 0.000222963
          42    -3.38954      -3.393 0.000233073
          43      -3.389    -3.39291 0.000245519
          44    -3.38876    -3.39281 0.000257404
          45    -3.38852    -3.39272 0.000268816
          46    -3.38797    -3.39262 0.000282106
          47    -3.38742    -3.39251 0.000296968
          48    -3.38717    -3.39239 0.000310877
          49    -3.38662    -3.39228 0.000326119
          50    -3.38621    -3.39215   0.0003414
          51    -3.38596    -3.39203  0.00035568
          52     -3.3854    -3.39191 0.000371037
          53    -3.38498    -3.39178 0.000386332
          54    -3.38457    -3.39164 0.000401553
          55    -3.38415    -3.39151 0.000416688
          56    -3.38343    -3.39136 0.000433461
          57    -3.38286    -3.39121 0.000450774
          58    -3.38259    -3.39106 0.000466868
          59    -3.38216    -3.39091 0.000482705
          60    -3.38128    -3.39075 0.000500631
          61     -3.3807    -3.39059 0.000518833
          62    -3.38042    -3.39042 0.000535764
          63    -3.37983    -3.39026 0.000553016
          64    -3.37909    -3.39008 0.000571236
          65     -3.3788    -3.38991 0.000588232
          66     -3.3782    -3.38973 0.000605469
          67     -3.3776    -3.38955   0.0006229
          68     -3.3773    -3.38937 0.000639243
          69      -3.377    -3.38919 0.000654629
          70    -3.37669    -3.38901  0.00066917
          71    -3.37639    -3.38883 0.000682956
          72    -3.37623    -3.38866 0.000695543
          73    -3.37547    -3.38848 0.000709106
          74     -3.3753     -3.3883 0.000721531
          75    -3.37468    -3.38812   0.0007344
          76    -3.37421    -3.38794 0.000747185
          77    -3.37374    -3.38775  0.00075989
          78    -3.37326    -3.38756 0.000772514
          79    -3.37218    -3.38737 0.000786893
          80     -3.3717    -3.38717  0.00080106
          81    -3.37122    -3.38698 0.000815028
          82    -3.37058    -3.38678 0.000829246
          83    -3.36995    -3.38657 0.000843685
          84    -3.36946    -3.38637 0.000857893
          85    -3.36912    -3.38617 0.000871471
          86    -3.36878    -3.38597 0.000884473
          87    -3.36829    -3.38576 0.000897336
          88    -3.36795    -3.38556 0.000909687
          89    -3.36776    -3.38536 0.000921198
          90    -3.36711    -3.38516 0.000933011
          91    -3.36692    -3.38496 0.000944041
          92    -3.36672    -3.38476 0.000954354
          93    -3.36653    -3.38456 0.000964009
          94    -3.36679    -3.38437 0.000972115
          95     -3.3666    -3.38419 0.000979717
          96    -3.36641      -3.384 0.000986855
          97    -3.36637    -3.38382 0.000993276
          98    -3.36603    -3.38364 0.000999584
          99      -3.366    -3.38346  0.00100524
         100    -3.36551    -3.38328  0.00101109
         101    -3.36533     -3.3831  0.00101657
